analysis             sr               o        b        db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             6.073541114    0.65441339236   49.0    63.0    0.102047003072   0.0793698912782  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.103524213901  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.100386773603  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             33.05020078    5.12677467147   96.0    116.0   0.256690524154   0.212433537231   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            1.13249076409   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.13249076409   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             1.60643143     1.13249336194   76.0    57.0    0                0                
atlas_1712_02332     2j-2100          180.0    143.0    13.0             12.85693287    3.20333427576   67.0    37.0    0.113484547131   0.205499044804   
atlas_1712_08119     SRI-MLL-03       1.0      1.7      0.9              9.62403429     2.77402451043   3.6     4.3     1.40962058136    1.18014746346    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.002425715    1.13249076409   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              9.870234335    1.14300998339   8.4     9.0     0.951868805029   0.888410884693   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           469.581886188  5.77689740938   5551.0  5525.0  0.0828873670396  0.0832774252374  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            4.36056108423   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             58.8887        4.42316924746   36.0    33.0    1.43429728984    1.56468795255    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            4.36056108423   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.13076        4.36069111863   2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-03     5.0      3.5      1.3              21.6222        8.15832468167   7.4     6.1     1.11385777325    1.3512372987     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.00934        4.36056108423   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00934        4.36056108423   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             3.18733        4.36066111104   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            4.36056108423   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            4.36056108423   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00430044     0.100391148859  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.100386773603  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.036365565    0.414134496195  7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.000994475    0.464289888429  5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.417233234823  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.016980015    0.417250462376  6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              7.12445682     0.424793825004  11.9    13.0    0.540150835882   0.494445765153   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            404.56914029   17.9771413634   1520.0  722.0   0.24676751872    0.519510565726   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            2.50340082313   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            4.36056108423   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            92.78183       16.8901911371   317.0   216.0   0.205305730395   0.301305169144   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            818.56979      50.1915393393   1199.0  833.0   0.614058102989   0.883860342717   
