analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             6.58775842     0.616450737782   49.0    63.0    0.113811820613    0.0885203049212  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0845705673065  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0820076514144  6.0     8.7     0                 0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             38.14269405    4.98232215166    96.0    116.0   0.312205059597    0.258376601045   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.925149349232   5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.925149349232   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.65609455     0.925149349232   76.0    57.0    0                 0                
atlas_1712_02332     2j-2100          180.0    143.0    13.0             11.1616769     2.6975834496     67.0    37.0    0.100561791682    0.182098379531   
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.654445       0.925149349232   27.0    20.0    0                 0                
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0            0.925149349232   2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              8.5983888      0.93524336746    8.4     9.0     0.841022580639    0.784954408596   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           390.420375439  4.76068930265    5551.0  5525.0  0.0689268320992   0.069251193662   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            3.5622091256     5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             52.9581744     3.62418480365    36.0    33.0    1.30595864783     1.42468216127    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            3.5622091256     6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.126171       3.56234815502    2.928   2.927   0                 0                
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            3.5622091256     33.0    26.0    0                 0                
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            3.5622091256     21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             2.517835       3.5622091256     66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             7.7005788      4.36351187652    68.0    54.0    0.00800616650748  0.0100818393057  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            3.5622091256     10.4    11.1    0                 0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            3.5622091256     13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00387288     0.0820119951743  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.000193644    0.0820076514144  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0479268      0.338337198942   7.2     7.3     0                 0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.002686815    0.379287856164   5.0     5.6     0                 0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.340844478017   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.018511205    0.340865382374   6.3     6.1     0                 0                
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              6.41775429     0.348338260473   11.9    13.0    0.491300801918    0.449729195602   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            377.10189605   15.6870380693    1520.0  722.0   0.231167864221    0.486669187834   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.004829       2.0450647459     2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            3.5622091256     21.0    18.0    0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            85.8952006     14.6891425614    317.0   216.0   0.194968475708    0.286134290738   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            777.4093346    44.206578147     1199.0  833.0   0.587915384853    0.846231148186   
