analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             1.758030112   0.223505835006   49.0    63.0    0.0283975620937    0.0220869927395   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0417349123456  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.001715912   0.0404742126198  6.0     8.7     0                  0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            21.121738685  2.60278610318    194.0   284.0   0.0868720076071    0.0593421460415   
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              3.713293235   1.07090211923    8.0     9.0     0.244626719932     0.217445973273    
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.456554502584   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.0           0.456554502584   76.0    57.0    0                  0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             3.89805305    1.11831208228    86.0    67.0    0.0240002469193    0.0308062870904   
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              64.98048929   4.57690907122    19.0    18.0    3.02496623227      3.19301991184     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0           0.456554502584   2.97    2.9     0                  0                 
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              5.344922405   1.20879428824    6.8     5.1     0.494485260631     0.659313680841    
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              1.588042937   0.207053588961   6.1     7.3     0.204668041164     0.171023979603    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           1.7579275064     5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             26.6089236    1.82705601006    36.0    33.0    0.655904215097     0.715531871015    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.15838645    1.75832248943    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.10248535    1.75817438119    2.928   2.927   0                  0                 
atlas_1911_12606     E-inc-40         492.0     420.0     30.0             333.4651466   20.349214442     131.0   74.0    2.29078194592      4.05530317453     
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.00931685    1.7579275064     21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0           1.7579275064     66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             33.8041531    6.45916827368    68.0    54.0    0.341339957811     0.429835502429    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.10248535    1.75817438119    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           1.7579275064     13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.09442686    0.0495825224841  20.0    10.2    0.000655576156301  0.00128544344373  
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.000214489   0.0404702341045  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.25908889    0.166998253769   7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.60045342    0.857763859074   20.0    19.0    0.209686034556     0.220722141638    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.168204327649   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              1.14405152    0.336658972459   11.1    10.3    0.0533270995646    0.0574690102104   
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             8.37749015    0.654709021091   17.7    24.6    0.41264222347      0.296901112009    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            99.951213075  5.66571680362    1520.0  722.0   0.0596443667875    0.125567087974    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           1.00922525856    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.3167729     1.75874206171    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            29.9442422    6.08960685471    317.0   216.0   0.0629567411933    0.0923948470291   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           495.1186906   24.7673057616    3986.0  2400.0  0.114024161854     0.189375128813    
