analysis             sr               o        b        db               s            ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             1.912608846  0.249000040354   49.0    63.0    0.0306989546902  0.0238769647591  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.0476763126348  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.000214971  0.0462316047816  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             10.05734274  1.91646706216    96.0    116.0   0.0720243412297  0.0596063513625  
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.00242514   0.521550058173   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.521550058173   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.0          0.521550058173   76.0    57.0    0                0                
atlas_1712_02332     2j-1200          582.0    517.0    31.0             5.92571568   1.47417948747    128.0   77.0    0.0274067290668  0.0455592379292  
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              88.2216579   5.70112149686    20.0    17.0    3.94359093226    4.63951874383    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00242514   0.521550058173   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             23.39775072  0.573368470582   61.0    48.0    0.368154531611   0.467863050588   
atlas_1807_07447     MET2m2j          6.0      7.2      1.7              0.61740529   0.131246111049   6.1     7.3     0.0659281422755  0.0550906394357  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          2.00818346414    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             34.2136992   2.08619134106    36.0    33.0    0.855342927796   0.933101375778   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0373512    2.00824859247    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0840402    2.008357135      2.928   2.927   0                0                
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             471.8110626  25.8725845418    130.0   63.0    3.30292326117    6.81555593574    
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0          2.00818346414    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0          2.00818346414    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             35.699081    7.10259877316    68.0    54.0    0.353688514883   0.445385537259   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0093378    2.00818346414    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          2.00818346414    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.069152607  0.0566621651288  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0          0.0462316047816  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.16120765   0.190765311726   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              3.982349     0.771286791683   20.0    19.0    0.135871933082   0.143023087455   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.192149816723   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.02323035   0.192201741684   6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              4.1955749    0.201365880806   11.9    13.0    0.324818055082   0.297333450421   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            141.457725   7.20670014812    1520.0  722.0   0.0852886426033  0.17955503706    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0          1.15289890543    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.093378     2.0083788428     21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            29.9087136   6.5022533298     317.0   216.0   0.060709836401   0.0890973061996  
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            269.2586144  19.5193684853    1199.0  833.0   0.197870600571   0.284810144159   
