analysis             sr               o        b        db               s            ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.404624347  0.0642321935002  49.0    63.0    0.00610782754408   0.00475053253428   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0          0.0151951305387  2.9     3.9     0                  0                  
atlas_1609_01599     3lnoZ2b          10.0     7.7      2.2              0.160973374  0.0403618821425  10.2    8.3     0.00929214581238   0.0114192635285    
atlas_1704_03848     SRI2             729.0    765.0    59.0             2.51376967   0.538658019614   96.0    116.0   0.0169830262274    0.0140549182572    
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              4.93731614   0.743691151208   8.0     9.0     0.464707831502     0.413073628002     
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0          0.166225049723   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.11991993   0.166225049723   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             1.44654245   0.407250387465   86.0    67.0    0.00905409086694   0.011621668874     
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             48.73500104  2.37998676622    59.0    66.0    0.75986140243      0.679270041567     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0          0.166225049723   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0      2.8      0.4              30.75706051  1.81867706022    5.1     5.0     5.4459666924       5.55488602625      
atlas_1807_07447     3m1j             18.0     21.8     2.5              4.605016764  0.215273932906   8.8     11.1    0.483178126595     0.3830601364       
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0          0.640036416722   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             17.21653325  0.75455265062    36.0    33.0    0.443862969527     0.484214148575     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              1.1092383    0.641448009882   6.5     5.9     0.00880977904506   0.00970568877845   
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0185623    0.640103706032   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             192.0074434  9.24250220129    96.0    73.0    1.84218478948      2.4225991752       
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.00928115   0.640036416722   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.452461     0.640036416722   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             31.0676198   3.73185551219    68.0    54.0    0.366873187647     0.461988458519     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.19490415   0.641380861608   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0          0.640036416722   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.031729717  0.0181078138917  20.0    10.2    0.000101645110881  0.000199304138982  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.075484554  0.0275713143026  3717.0  3549.0  8.14301817155e-06  8.52848648737e-06  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.4920701    0.142578283191   7.2     7.3     0.0358669049399    0.035375577475     
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              5.3496024    0.505401782837   20.0    19.0    0.226037173807     0.237933867166     
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0          0.0612409324827  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              14.13243602  0.76757989244    11.1    10.3    1.15978423391      1.24986456276      
atlas_conf_2016_096  3LH              0.0      0.98     0.5              7.98280667   0.556866088341   3.01    3.09    2.34868647346      2.28787905667      
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            35.5981842   2.03248199377    1520.0  722.0   0.0212269169278    0.0446882461637    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0053283    0.367445311668   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-ISR           30.0     23.0     2.2              1.51529355   0.784694722282   18.0    12.0    0.0126885669699    0.0190328504549    
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            8.22900735   1.92010925017    317.0   216.0   0.0160253254881    0.0235186489802    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            57.75050185  5.08017386202    1199.0  833.0   0.0412168613147    0.0593265506798    
