analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             3.4600874375   0.304838905709   49.0    63.0    0.0604112577987  0.0469865338435   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0394505504119  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0382550631192  6.0     8.7     0                0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             18.12626663    2.34393143752    96.0    116.0   0.148773115338   0.123122578211    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.431565150702   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.431565150702   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.0            0.431565150702   76.0    57.0    0                0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             6.15176341     1.3647504183     67.0    37.0    0.0584115331939  0.105772235783    
atlas_1712_08119     SRM-MLL-03       1.0      1.1      0.6              1.52830271     0.682446737723   3.6     3.6     0.113636127815   0.113636127815    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0            0.431565150702   2.97    2.9     0                0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             26.85177863    0.498381157705   61.0    48.0    0.426793992317   0.542384031903    
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           239.855914467  2.54707551519    5551.0  5525.0  0.0424569826378  0.0426567802032   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            1.66170718766    5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             43.0027969     1.77323835116    36.0    33.0    1.11374127789    1.21499048497     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            1.66170718766    6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.15148105     1.66208939965    2.928   2.927   0                0                 
atlas_1911_12606     SR-1L1T-1.5      8.0      6.0      1.9              9.39889        3.3230214318     9.0     8.0     0.438792761316   0.49364185648     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0178213      1.66173107848    21.0    19.0    0                0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0            1.66170718766    66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             3.65836975     2.03528491698    68.0    54.0    0.0047132718551  0.00593523122494  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            1.66170718766    10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            1.66170718766    13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0030770625   0.0382627624953  20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0382550631192  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.034693995    0.157893069264   7.2     7.3     0                0                 
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.0            0.176929856972   5.0     5.6     0                0                 
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.158997724331   6.34    3.17    0                0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.02387294     0.15905943416    6.3     6.1     0                0                 
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              5.266541085    0.172539353972   11.9    13.0    0.418787944915   0.383352041884    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            272.2573237    9.09874261621    1520.0  722.0   0.169299595927   0.356420201952    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.953985638578   2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            1.66170718766    21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            72.0115797     9.17694869596    317.0   216.0   0.179688908008   0.263710110364    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            525.94491845   24.8146836183    1199.0  833.0   0.404711290505   0.582531617426    
