analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.3930765     0.0527733719112  49.0    63.0    0.00625567694012   0.00486552650898   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.0104741913798  2.9     3.9     0                  0                  
atlas_1609_01599     3lnoZ2b           10.0     7.7      2.2              0.112197794   0.027825690025   10.2    8.3     0.00652584925089   0.00801971835651   
atlas_1704_03848     SRI2              729.0    765.0    59.0             2.78784865    0.472399110394   96.0    116.0   0.0209699386349    0.0173544319737    
atlas_1706_03731     Rpc3L0bS          9.0      11.0     3.0              3.011639675   0.479699067632   8.0     9.0     0.278116650511     0.247214800454     
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.114581371181   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.083379475   0.114581371181   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             1.980467125   0.396975598796   86.0    67.0    0.0154584551509    0.0198421961638    
atlas_1712_08119     SRM-MT2-999       13.0     11.0     1.4              6.48733675    0.715686806048   10.0    8.0     0.531361038808     0.66420129851      
atlas_1802_03158     SRaaWH            1.0      2.05     0.640078120232   0.250295425   0.140386774544   3.53    4.4     0.00568303533923   0.00455934426079   
atlas_1803_02762     S-3l-slep-b       3.0      2.8      0.4              15.7030895    1.05837272229    5.1     5.0     2.73869769322      2.79347164709      
atlas_1807_07447     MET2m1j           17.0     16.0     5.0              3.19899928    0.14722697195    13.0    13.0    0.227503618923     0.227503618923     
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.441184941496   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             12.0349764    0.553615528095   36.0    33.0    0.309084637053     0.337183240422     
atlas_1909_08457     Rpc2L0b           6.0      4.8      1.5              0.9823405     0.540706182142   7.5     7.0     0.0127443148383    0.013654623041     
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0186012     0.441282963373   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             137.6712162   6.47031766895    96.0    73.0    1.32354057524      1.7405465099       
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0093006     0.441184941496   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.3117445     0.441184941496   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             19.9756925    2.47630057207    68.0    54.0    0.234037640615     0.294714065959     
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0558036     0.441674833339   10.4    11.1    0                  0                  
atlas_2106_09609     SR12              6.0      5.8      0.8              0.9448361     0.540211797245   6.8     6.6     0.00866011066434   0.00892253826023   
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.041672278   0.0160895461672  20.0    10.2    0.000764271114294  0.00149857081234   
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0   2200.0           0.024099918   0.0143763224737  3717.0  3549.0  1.40637380455e-07  1.47294771246e-07  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.16836526    0.0663458665428  7.2     7.3     0.00827194984303   0.00815863546162   
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              3.39382957    0.332164175783   20.0    19.0    0.142454016086     0.14995159588      
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0422141149207  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              10.0038386    0.534238564125   11.1    10.3    0.822314176111     0.886183238334     
atlas_conf_2016_096  3LH               0.0      0.98     0.5              3.31272596    0.296025672795   3.01    3.09    0.939283673294     0.91496564939      
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            34.074907725  1.64463710421    1520.0  722.0   0.0206432255751    0.0434594222633    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.253284335873   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-ISR            30.0     23.0     2.2              1.5872283     0.697538127737   18.0    12.0    0.0246258761396    0.0369388142093    
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             5.3581781     1.28621663675    116.0   119.0   0.0280067484114    0.0273006959304    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            56.7042518    4.16226410843    1199.0  833.0   0.0415997820368    0.0598777174816    
