analysis             sr               o        b        db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.0760280125  0.101647704529   49.0    63.0    0.0185576689198   0.0144337424932   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0002205715  0.0141410804337  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0002138875  0.0137125553605  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            12.26005034   1.15189883204    194.0   284.0   0.0534584343065   0.0365173811812   
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              0.2790665     0.155145393326   8.0     9.0     0.00307850686808  0.00273645054941  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.15469441063    7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.0           0.15469441063    76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.76474504    0.547223804647   67.0    37.0    0.0278701194086   0.0504675135237   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              15.78391138   1.31254683739    11.4    9.3     1.19573110234     1.46573489964     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.15469441063    2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             3.2333128     0.178118678466   61.0    48.0    0.0482163633986   0.0612749618191   
atlas_1807_07447     MET2j            6771.0   6770.0   1800.0           54.416025312  0.725059591189   2712.0  2723.0  0.0196264482236   0.0195471640038   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.595638206046   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             4.48743225    0.629595239533   36.0    33.0    0.0959693349213   0.104693819914    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.037163      0.595855541728   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.037163      0.595855541728   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             157.90114975  8.14352439494    130.0   63.0    1.11189053648     2.2943772975      
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0           0.595638206046   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0           0.595638206046   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             26.17294325   3.29111540674    68.0    54.0    0.305522264455    0.384731740425    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.595638206046   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.595638206046   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00598885    0.0137575203728  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0002138875  0.0137125553605  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.054881395   0.0566742032335  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              3.31275419    0.38084351236    20.0    19.0    0.134408541487    0.141482675249    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0569927054042  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.22490941    0.058713847769   11.1    10.3    0.0115872702395   0.0124872523941   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             1.97991719    0.070510582452   17.7    24.6    0.105326544338    0.0757837331211   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            107.43936776  3.41575954337    1520.0  722.0   0.0669983698085   0.141049199597    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.341956231727   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.595638206046   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            22.89880075   3.09488745792    317.0   216.0   0.056224559366    0.0825147468473   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            182.726356    8.74323058629    1199.0  833.0   0.140439914794    0.202145807729    
