analysis             sr                o        b        db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             1.339920325    0.0929365651661   49.0    63.0    0.0242347828189    0.0188492755258    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.00951409866427  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.00922580442456  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             7.07655514     0.717273444613    96.0    116.0   0.0614606946962    0.0508640231969    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.104078390758    5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.104078390758    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.223167365    0.127475517052    76.0    57.0    0.000185625224134  0.000247500298845  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             3.79583457     0.525541274037    67.0    37.0    0.043790251949     0.0792958616373    
atlas_1712_08119     SRM-MLL-03        1.0      1.1      0.6              0.296711865    0.147169293428    3.6     3.6     0.0153761732718    0.0153761732718    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            0.104078390758    2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             1.5924909      0.121115461691    61.0    48.0    0.0228501892267    0.0290387821422    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           81.0195994905  0.724935582745    5551.0  5525.0  0.0143813196063    0.0144489964045    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.566587       0.400745250729    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              1.5979746      0.418755900952    17.0    19.0    0.0536008777905    0.0479586801283    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            0.400745250729    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.00929055     0.400745250729    2.928   2.927   0                  0                  
atlas_1911_12606     E-high-mm-02      5.0      3.4      1.2              1.699761       0.693986771709    7.3     6.0     0.0769346156709    0.0936037823996    
atlas_2004_10894     Cat12             22.0     16.6     1.7              0.8499975      0.490834256641    15.2    9.9     0.00296245520455   0.00454841607164   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.8499975      0.490834256641    66.0    57.0    0.000682262410746  0.000789988054548  
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             1.8481758      0.694823555112    46.0    31.0    0.0154057645569    0.0228601667618    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            0.400745250729    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.400745250729    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.007699788    0.00931217348954  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.00922580442456  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.02823248     0.0383721163082   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.26212202     0.074436669421    20.0    19.0    0.00700229410748   0.00737083590261   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.0383446889084   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.23023805     0.0409169286473   11.1    10.3    0.0146967826143    0.0158382802931    
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             1.56411225     0.0532525702723   17.7    24.6    0.0834337872742    0.060031627429     
atlas_conf_2017_060  IM6               5097.0   4680.0   160.0            61.074854705   2.11098377675     692.0   350.0   0.0832555510276    0.164608118032     
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            0.230068486938    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            0.400745250729    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             12.81242235    1.90042761054     99.0    76.0    0.0979365764517    0.12757527722      
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            107.454679     5.50125303375     594.0   381.0   0.165711488257     0.258353343897     
