analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.447846146   0.0492516536893   49.0    63.0    0.0074912945704    0.00582656244364  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.00807974301226  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0006429435  0.00784078167913  6.0     8.7     0                  0                 
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            5.10982804    0.559102643342    194.0   284.0   0.0216128850769    0.0147637313553   
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              1.06933146    0.250143444165    8.0     9.0     0.0823870264463    0.0732329123967   
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.088387530021    7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.06737798    0.0884205910968   76.0    57.0    0                  0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             1.85592182    0.336711147903    67.0    37.0    0.0194584408573    0.0352355550659   
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             42.08081548   1.60550848294     59.0    66.0    0.668606467254     0.597693660121    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.088387530021    2.97    2.9     0                  0                 
atlas_1803_02762     S-3l-slep-a      4.0      2.2      0.8              2.59237482    0.370860887921    6.8     5.1     0.291788671148     0.389051561531    
atlas_1807_07447     MET2m2j          6.0      7.2      1.7              0.5736502485  0.0542479862272   6.1     7.3     0.0794563198504    0.0663950069983   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.340328632329    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              1.2195183     0.356496531016    17.0    19.0    0.0373449405372    0.0334138941649   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0372372     0.34071038608     6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.2496118     0.340328632329    2.928   2.927   0                  0                 
atlas_1911_12606     E-high-mm-30     3.0      8.3      1.4              12.5385059    1.73498091423     4.1     6.9     2.36417980504      1.40480249285     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0093093     0.340328632329    21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0093093     0.340328632329    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             25.1642741    2.43107248134     68.0    54.0    0.311431106332     0.39217250427     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0186186     0.340455931142    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.340328632329    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.03752639    0.0136040254246   20.0    10.2    0.000760789415183  0.00149174395134  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.00783492156501  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0791175     0.0396720291961   7.2     7.3     0.00195213501643   0.00192539344087  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              2.951046995   0.270044664021    20.0    19.0    0.1254086873       0.132009144527    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0325637933319   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              1.84806167    0.193113418495    11.1    10.3    0.1379599697       0.148675307152    
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             2.726786885   0.201579223819    17.7    24.6    0.135378359205     0.097406380404    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            48.87390506   1.72999259389     1520.0  722.0   0.0302873139513    0.0637627662133   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.195382476707    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.340328632329    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            16.1674973    1.95524680665     317.0   216.0   0.0408860963315    0.0600041321162   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            87.4663175    4.54707222893     1199.0  833.0   0.0667298740989    0.0960493625985   
