analysis             sr               o        b       db               s            ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.4257795    0.0365774782241   49.0    63.0    0.00746515174924   0.00580622913829   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0          0.00469935326716  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0          0.00455694519529  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             2.423932225  0.292839149814    96.0    116.0   0.0202466252011    0.0167558277526    
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0          0.051408027425    5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0          0.051408027425    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.0          0.051408027425    76.0    57.0    0                  0                  
atlas_1712_02332     2j-2100          180.0    143.0   13.0             1.2559837    0.208889609333    67.0    37.0    0.0136329065775    0.0246866146134    
atlas_1712_08119     SRI-MT2-999      277.0    289.0   33.0             1.1565837    0.172913169591    59.0    66.0    0.014796713591     0.0132273651799    
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0          0.051408027425    2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0   22.0             0.246577925  0.056072803993    61.0    48.0    0.00253472994183   0.00322121930107   
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.425250224  0.036692504542    44.0    40.0    0.00829714810343   0.00912686291378   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0          0.197942413102    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC100  120.0    124.0   12.0             0.3904719    0.206700177445    29.0    32.0    0.00177529686171   0.00160886278092   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0          0.197942413102    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0          0.197942413102    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20         328.0    312.0   24.0             6.6383981    0.719804549814    69.0    59.0    0.0791002701204    0.0925070955645    
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.0          0.197942413102    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0          0.197942413102    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             27.44980315  1.94693598516     68.0    54.0    0.356718060799     0.449200521006     
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0          0.197942413102    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0          0.197942413102    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.00901553   0.00468580616077  20.0    10.2    6.65403948169e-05  0.000130471362386  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0          0.00455694519529  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.04866645   0.0195892999624   7.2     7.3     0.00229722195301   0.00226575315913   
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              4.63804686   0.260152991492    20.0    19.0    0.210569797698     0.221652418629     
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0          0.0189398067381   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.1823598    0.0228066864312   11.1    10.3    0.013059174257     0.0140734790537    
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             0.49926156   0.0309691254743   17.7    24.6    0.0253374121029    0.0182305770009    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            25.9268856   0.957426573867    692.0   350.0   0.0351975520504    0.0695905886253    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0          0.113638698696    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0          0.197942413102    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0   22.0             3.2075423    0.657032442283    85.0    58.0    0.0250589305254    0.0367242947354    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            29.3540625   1.98948863702     594.0   381.0   0.043924749386     0.068481105342     
