analysis             sr                o        b        db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             0.9029943525  0.0700399431006   49.0    63.0    0.0160842621595   0.0125099816796   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.00802714489145  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.00778387881143  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             4.872929065   0.544809210133    96.0    116.0   0.0414525204206   0.0343055341412   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.002412335   0.0878120617008   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.0878120617008   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0            18.0     18.7     2.7              0.248276      0.124161576183    10.4    10.8    0.00429336683274  0.00413435324634  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             2.652918365   0.402419647546    67.0    37.0    0.0297455245228   0.0538635173791   
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              10.286754365  0.797324774683    11.4    9.3     0.7876440118      0.965499111239    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           0.0878120617008   2.97    2.9     0                 0                 
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0           0.0878120617008   3.5     4.5     0                 0                 
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           73.319970428  0.632231471757    5551.0  5525.0  0.0130216376895   0.0130829159845   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.338112654829    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0           0.338112654829    17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0092885     0.338112654829    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0           0.338112654829    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-10      9.0      11.0     2.0              13.4756795    1.78859434118     7.0     8.0     1.50605496864     1.31779809756     
atlas_2004_10894     Cat12             22.0     16.6     1.7              1.2031715     0.534001881385    15.2    9.9     0.0215400272717   0.0330715570232   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0           0.338112654829    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             9.0888335     1.43586990836     68.0    54.0    0.0990295125043   0.124703830561    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0           0.338112654829    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.338112654829    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0100502685  0.00791783732593  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.00778387881143  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.01499519    0.0323018167447   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.40888383    0.182074009306    20.0    19.0    0.0555141227369   0.0584359186704   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0323517749756   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.073766665   0.033337785634    11.1    10.3    0.00172006275318  0.00185365986022  
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             0.10439283    0.0331357797302   17.7    24.6    0.00282769216059  0.0020345589936   
atlas_conf_2017_060  IM6               5097.0   4680.0   160.0            45.886732065  1.67742165442     692.0   350.0   0.0623349140921   0.123245030148    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.194110650403    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0           0.338112654829    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             12.54758      1.72361850876     116.0   119.0   0.0838003934968   0.0816877785347   
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            81.369232     4.38831245772     594.0   381.0   0.124869359544    0.194678214093    
