analysis             sr               o        b       db               s             ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             0.814470965   0.0611453877534   49.0    63.0    0.0145753577364    0.0113363893505   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.004816425   0.00680043944039  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0002142325  0.00659436412898  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0    765.0   59.0             5.44754135    0.531205164484    96.0    116.0   0.0476704675026    0.0394514213814   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0           0.0743927792049   5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.0743927792049   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.00483362    0.0744320264967   76.0    57.0    0                  0                 
atlas_1712_02332     2j-2100          180.0    143.0   13.0             1.82647096    0.306758587504    67.0    37.0    0.0197520429327    0.0357672128782   
atlas_1712_08119     SRI-MLL-20       34.0     29.0    6.0              8.55010467    0.665306186893    20.0    17.0    0.372950126175     0.438764854323    
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.0743927792049   2.97    2.9     0                  0                 
atlas_1803_02762     S-3l-slep-a      4.0      2.2     0.8              0.24484566    0.092275946427    6.8     5.1     0.0137519276264    0.0183359035019   
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.627812793   0.0537487308443   44.0    40.0    0.0122651107822    0.0134916218604   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0           0.286442777992    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0    6.0              0.0           0.286442777992    17.0    19.0    0                  0                 
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.286442777992    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0093057     0.286442777992    2.928   2.927   0                  0                 
atlas_1911_12606     E-inc-20         383.0    301.0   23.0             41.2372181    2.87146072394     130.0   63.0    0.28098478856      0.579809881155    
atlas_2004_10894     Cat12            22.0     16.6    1.7              0.6254909     0.350629823497    15.2    9.9     0.00331960457011   0.00509676661269  
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0093057     0.286442777992    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             21.288564     2.03687431553     68.0    54.0    0.263942501802     0.332372039306    
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0093057     0.286442777992    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.286442777992    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.003856185   0.00665325956615  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0           0.00659436412898  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.02978752    0.0273592033119   7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              2.7801708     0.238383412633    20.0    19.0    0.119461100164     0.125748526489    
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.0274078472432   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7     2.0              0.002671215   0.0274367587852   6.3     6.1     0                  0                 
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             0.04782131    0.0278526038907   17.7    24.6    0.000121075684701  8.7115431675e-05  
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            34.49971847   1.33381385426     692.0   350.0   0.0466940227587    0.0923207535686   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.164447082789    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.286442777992    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            16.9113771    1.83442021472     317.0   216.0   0.0438578168702    0.064365407166    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            57.8650237    3.39445414466     594.0   381.0   0.0880439712168    0.137265403944    
