analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.76130108    0.053203353489    49.0    63.0    0.0137560730669  0.0106991679409   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0002206785  0.00552944432803  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00536188207975  6.0     8.7     0                0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             4.4985741     0.434011624528    96.0    116.0   0.0394457816226  0.0326447847912   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.0604887455056   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.0604887455056   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.08788149    0.0740611736913   76.0    57.0    0                0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.23758501    0.30544065569     67.0    37.0    0.0259203333533  0.0469368198559   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              4.59226647    0.442136854811    11.4    9.3     0.339224739308   0.41582387399     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.0604887455056   2.97    2.9     0                0                 
atlas_1803_02762     S-3l-WZ-1Ja      1.0      2.2      0.5              0.00241409    0.0604887455056   3.5     4.5     0                0                 
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           51.3197685    0.437756056954    5551.0  5525.0  0.0091158077043  0.00915870562291  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.232906776638    5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              0.0           0.232906776638    17.0    19.0    0                0                 
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.232906776638    6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0           0.232906776638    2.928   2.927   0                0                 
atlas_1911_12606     E-high-mm-05     0.0      3.9      1.3              4.45236525    0.85511974605     2.9     5.1     1.05171340223    0.598033111074    
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0           0.232906776638    21.0    19.0    0                0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.17383775    0.232906776638    66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             2.4236165     0.55097420026     68.0    54.0    0.0223532178173  0.0281484965106   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.00929525    0.232906776638    10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.232906776638    13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.007703676   0.00550931072095  20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.000213991   0.00536188207975  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.01588887    0.0224151953579   7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.51215258    0.0829417199522   20.0    19.0    0.0188064079639  0.0197962189094   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0222853253683   6.34    3.17    0                0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.0017788     0.0223030661374   6.3     6.1     0                0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.0323774     0.0272856970365   8.3     9.1     0                0                 
atlas_conf_2017_060  IM6              5097.0   4680.0   160.0            37.33629206   1.25182364859     692.0   350.0   0.0509874295901  0.100809432218    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0053364     0.133711881548    2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.232906776638    21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            18.17194325   1.71122122744     317.0   216.0   0.0484717363943  0.0711367612824   
atlas_conf_2020_048  EM06             10203.0  9930.0   170.0            66.98292675   3.29670266575     594.0   381.0   0.10366386259    0.161617675533    
