analysis             sr                 signal_normevents  signal_err_tot    
atlas_1604_01306     SR1                0.00813351         0.00332049155297  
atlas_1605_09318     SR-Gbb-A           0.0                0                 
atlas_1605_09318     SR-Gbb-B           0.0                0                 
atlas_1605_09318     SR-Gbb-C           0.0                0                 
atlas_1605_09318     SR-Gtt-0L-A        0.0                0                 
atlas_1605_09318     SR-Gtt-0L-B        0.0                0                 
atlas_1605_09318     SR-Gtt-0L-C        0.0                0                 
atlas_1605_09318     SR-Gtt-1L-A        0.0                0                 
atlas_1605_09318     SR-Gtt-1L-B        0.0                0                 
atlas_1609_01599     2muSS              0.00135559         0.00135559        
atlas_1609_01599     3lZ1b4j            0.00135559         0.00135559        
atlas_1609_01599     3lZ2b3j            0.00135559         0.00135559        
atlas_1609_01599     3lZ2b4j            0.00271117         0.00191708669195  
atlas_1609_01599     3lnoZ2b            0.0311785          0.00650116665868  
atlas_1609_01599     4lDF1b             0.0                0                 
atlas_1609_01599     4lDF2b             0.0                0                 
atlas_1609_01599     4lSF1b             0.0                0                 
atlas_1609_01599     4lSF2b             0.0                0                 
atlas_1704_03848     SRE1               0.0458781          0.0264877333849   
atlas_1704_03848     SRE2               0.0152927          0.0152927         
atlas_1704_03848     SRI1               0.107049           0.0404607188712   
atlas_1704_03848     SRI2               0.0611708          0.0305854         
atlas_1704_03848     SRI3               0.0458781          0.0264877333849   
atlas_1706_03731     Rpc2L0bH           0.0                0                 
atlas_1706_03731     Rpc2L0bS           0.137634           0.045878          
atlas_1706_03731     Rpc2L1bH           0.0764635          0.0341955167595   
atlas_1706_03731     Rpc2L1bS           0.0917562          0.0374593117895   
atlas_1706_03731     Rpc2L2bH           0.0                0                 
atlas_1706_03731     Rpc2L2bS           0.0152927          0.0152927         
atlas_1706_03731     Rpc2Lsoft1b        0.0917562          0.0374593117895   
atlas_1706_03731     Rpc2Lsoft2b        0.0305854          0.0216271437453   
atlas_1706_03731     Rpc3L0bH           0.22939            0.0592282433191   
atlas_1706_03731     Rpc3L0bS           0.749342           0.107048857143    
atlas_1706_03731     Rpc3L1bH           0.0305854          0.0216271437453   
atlas_1706_03731     Rpc3L1bS           0.198805           0.0551385862553   
atlas_1706_03731     Rpc3LSS1b          0.0458781          0.0264877333849   
atlas_1706_03731     Rpv2L0b            0.0                0                 
atlas_1706_03731     Rpv2L1bH           0.0                0                 
atlas_1706_03731     Rpv2L1bM           0.0152927          0.0152927         
atlas_1706_03731     Rpv2L1bS           0.0458781          0.0264877333849   
atlas_1706_03731     Rpv2L2bH           0.0                0                 
atlas_1706_03731     Rpv2L2bS           0.0                0                 
atlas_1708_07875     sr1-lowmass        0.0                0                 
atlas_1708_07875     sr2-highmass       0.0                0                 
atlas_1709_04183     SRA-T0             0.0                0                 
atlas_1709_04183     SRA-TT             0.0                0                 
atlas_1709_04183     SRA-TW             0.0                0                 
atlas_1709_04183     SRB-T0             0.0                0                 
atlas_1709_04183     SRB-TT             0.0                0                 
atlas_1709_04183     SRB-TW             0.0                0                 
atlas_1709_04183     SRC1               0.0                0                 
atlas_1709_04183     SRC2               0.0                0                 
atlas_1709_04183     SRC3               0.0                0                 
atlas_1709_04183     SRC4               0.0                0                 
atlas_1709_04183     SRC5               0.0                0                 
atlas_1709_04183     SRD-high           0.0                0                 
atlas_1709_04183     SRD-low            0.0                0                 
atlas_1709_04183     SRE                0.0                0                 
atlas_1712_02332     2j-1200            0.0152927          0.0152927         
atlas_1712_02332     2j-1600            0.0                0                 
atlas_1712_02332     2j-2000            0.0                0                 
atlas_1712_02332     2j-2100            0.0                0                 
atlas_1712_02332     2j-2400            0.0                0                 
atlas_1712_02332     2j-2800            0.0                0                 
atlas_1712_02332     2j-3600            0.0                0                 
atlas_1712_02332     2j-B1600           0.0                0                 
atlas_1712_02332     2j-B2400           0.0                0                 
atlas_1712_02332     3j-1300            0.0152927          0.0152927         
atlas_1712_02332     4j-1000            0.0                0                 
atlas_1712_02332     4j-1400            0.0                0                 
atlas_1712_02332     4j-1800            0.0                0                 
atlas_1712_02332     4j-2200            0.0                0                 
atlas_1712_02332     4j-2600            0.0                0                 
