analysis             sr               o        b       db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.185356375   0.0195327656637   49.0    63.0    0.00312903345534   0.00243369268748   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0           0.00332157429524  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0           0.00322091782235  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             1.16436536    0.165167577203    96.0    116.0   0.00930719305611   0.00770250459816   
atlas_1706_03731     Rpc3L0bS         9.0      11.0    3.0              0.1024744     0.0513131324764   8.0     9.0     0.00229010784233   0.00203565141541   
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.0363360318854   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.00275261    0.0363360318854   76.0    57.0    0                  0                  
atlas_1712_02332     2j-2100          180.0    143.0   13.0             0.48972329    0.103545023074    67.0    37.0    0.00477476794266   0.00864620140968   
atlas_1712_08119     SRI-MT2-105      34.0     38.0    7.0              7.96388519    0.441863494485    15.0    18.0    0.482615270603     0.402179392169     
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.0363360318854   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-WZ-1Ja      1.0      2.2     0.5              0.0           0.0363360318854   3.5     4.5     0                  0                  
atlas_1807_07447     MET2j            6771.0   6770.0  1800.0           17.118362983  0.192688407006    2712.0  2723.0  0.00619555825793   0.00617053029582   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0105987     0.139908813668    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0    6.0              0.0           0.139908813668    17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.139908813668    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0           0.139908813668    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-05         158.0    158.0   17.0             41.5953061    1.95751388768     41.0    41.0    0.936219105468     0.936219105468     
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.0105987     0.139908813668    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0105987     0.139908813668    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             15.7808139    1.20487988687     68.0    54.0    0.203011924787     0.255644646028     
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0           0.139908813668    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.139908813668    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.002779208   0.00323014661127  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0           0.00322091782235  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.021921985   0.0163669638908   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              1.97677345    0.137691717785    20.0    19.0    0.0875479516416    0.0921557385701    
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.0133869498952   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.02293333    0.0135016941759   11.1    10.3    7.12208604945e-05  7.67525778145e-05  
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             0.05781352    0.0232112421009   17.7    24.6    0.00111565440421   0.000802726949374  
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            16.03490516   0.617564426371    692.0   350.0   0.0217082362728    0.0429202842879    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.0803216267209   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.139908813668    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            4.7053011     0.651792047205    317.0   216.0   0.0114711739514    0.0168350099194    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            17.4020011    1.2504543236      594.0   381.0   0.0258438653355    0.0402920105231    
