analysis             sr                 signal_normevents  signal_err_tot    
atlas_1604_01306     SR1                0.078770475        0.0133146404186   
atlas_1605_09318     SR-Gbb-A           0.0                0.002320915       
atlas_1605_09318     SR-Gbb-B           0.0                0.002320915       
atlas_1605_09318     SR-Gbb-C           0.0                0.002320915       
atlas_1605_09318     SR-Gtt-0L-A        0.0                0.002320915       
atlas_1605_09318     SR-Gtt-0L-B        0.0                0.002320915       
atlas_1605_09318     SR-Gtt-0L-C        0.0                0.002320915       
atlas_1605_09318     SR-Gtt-1L-A        0.0                0.002320915       
atlas_1605_09318     SR-Gtt-1L-B        0.0                0.002320915       
atlas_1609_01599     2muSS              0.0                0.002250585       
atlas_1609_01599     3lZ1b4j            0.0                0.002250585       
atlas_1609_01599     3lZ2b3j            0.0                0.002250585       
atlas_1609_01599     3lZ2b4j            0.0                0.002250585       
atlas_1609_01599     3lnoZ2b            0.0                0.002250585       
atlas_1609_01599     4lDF1b             0.0                0.002250585       
atlas_1609_01599     4lDF2b             0.0                0.002250585       
atlas_1609_01599     4lSF1b             0.0                0.002250585       
atlas_1609_01599     4lSF2b             0.0                0.002250585       
atlas_1704_03848     SRE1               0.507789           0.113545072223    
atlas_1704_03848     SRE2               0.2538945          0.080288490539    
atlas_1704_03848     SRI1               0.9647991          0.156511081108    
atlas_1704_03848     SRI2               0.4570101          0.107718313594    
atlas_1704_03848     SRI3               0.2031156          0.0718122090624   
atlas_1706_03731     Rpc2L0bH           0.02538945         0.02538945        
atlas_1706_03731     Rpc2L0bS           0.02538945         0.02538945        
atlas_1706_03731     Rpc2L1bH           0.0                0.02538945        
atlas_1706_03731     Rpc2L1bS           0.0                0.02538945        
atlas_1706_03731     Rpc2L2bH           0.0                0.02538945        
atlas_1706_03731     Rpc2L2bS           0.0                0.02538945        
atlas_1706_03731     Rpc2Lsoft1b        0.0                0.02538945        
atlas_1706_03731     Rpc2Lsoft2b        0.0                0.02538945        
atlas_1706_03731     Rpc3L0bH           0.02538945         0.02538945        
atlas_1706_03731     Rpc3L0bS           0.0507789          0.0359061045312   
atlas_1706_03731     Rpc3L1bH           0.0                0.02538945        
atlas_1706_03731     Rpc3L1bS           0.0                0.02538945        
atlas_1706_03731     Rpc3LSS1b          0.0                0.02538945        
atlas_1706_03731     Rpv2L0b            0.0                0.02538945        
atlas_1706_03731     Rpv2L1bH           0.0                0.02538945        
atlas_1706_03731     Rpv2L1bM           0.0                0.02538945        
atlas_1706_03731     Rpv2L1bS           0.0                0.02538945        
atlas_1706_03731     Rpv2L2bH           0.0                0.02538945        
atlas_1706_03731     Rpv2L2bS           0.0                0.02538945        
atlas_1708_07875     sr1-lowmass        0.0                0.02538945        
atlas_1708_07875     sr2-highmass       0.0                0.02538945        
atlas_1709_04183     SRA-T0             0.0                0.02538945        
atlas_1709_04183     SRA-TT             0.0                0.02538945        
atlas_1709_04183     SRA-TW             0.0                0.02538945        
atlas_1709_04183     SRB-T0             0.0                0.02538945        
atlas_1709_04183     SRB-TT             0.0                0.02538945        
atlas_1709_04183     SRB-TW             0.0                0.02538945        
atlas_1709_04183     SRC1               0.0                0.02538945        
atlas_1709_04183     SRC2               0.0                0.02538945        
atlas_1709_04183     SRC3               0.0                0.02538945        
atlas_1709_04183     SRC4               0.0                0.02538945        
atlas_1709_04183     SRC5               0.0                0.02538945        
atlas_1709_04183     SRD-high           0.0                0.02538945        
atlas_1709_04183     SRD-low            0.0                0.02538945        
atlas_1709_04183     SRE                0.0                0.02538945        
atlas_1712_02332     2j-1200            0.3046734          0.0879516347525   
atlas_1712_02332     2j-1600            0.12694725         0.0567725361113   
atlas_1712_02332     2j-2000            0.0507789          0.0359061045312   
atlas_1712_02332     2j-2100            0.2031156          0.0718122090624   
atlas_1712_02332     2j-2400            0.0507789          0.0359061045312   
atlas_1712_02332     2j-2800            0.02538945         0.02538945        
atlas_1712_02332     2j-3600            0.0                0.02538945        
atlas_1712_02332     2j-B1600           0.0                0.02538945        
atlas_1712_02332     2j-B2400           0.0                0.02538945        
atlas_1712_02332     3j-1300            0.2538945          0.080288490539    
atlas_1712_02332     4j-1000            0.02538945         0.02538945        
atlas_1712_02332     4j-1400            0.0507789          0.0359061045312   
atlas_1712_02332     4j-1800            0.0                0.02538945        
atlas_1712_02332     4j-2200            0.0                0.02538945        
atlas_1712_02332     4j-2600            0.0                0.02538945        
atlas_1712_02332     4j-3000            0.0                0.02538945        
atlas_1712_02332     5j-1600            0.0                0.02538945        
atlas_1712_02332     5j-1700            0.0                0.02538945        
atlas_1712_02332     5j-2000            0.0                0.02538945        
atlas_1712_02332     5j-2600            0.0                0.02538945        
atlas_1712_02332     6j-1200            0.0                0.02538945        
atlas_1712_02332     6j-1800            0.0                0.02538945        
atlas_1712_02332     6j-2200            0.0                0.02538945        
atlas_1712_02332     6j-2600            0.0                0.02538945        
atlas_1712_08119     SRE-MLL-03         0.0                0.02538945        
atlas_1712_08119     SRE-MLL-05         0.0507789          0.0359061045312   
atlas_1712_08119     SRE-MLL-10         0.43162065         0.104683384126    
atlas_1712_08119     SRE-MLL-20         0.7616835          0.139063744876    
atlas_1712_08119     SRE-MLL-30         0.12694725         0.0567725361113   
atlas_1712_08119     SRE-MLL-40         0.0                0.02538945        
atlas_1712_08119     SRE-MLL-60         0.0                0.02538945        
atlas_1712_08119     SRE-MT2-102        0.38084175         0.0983329170194   
atlas_1712_08119     SRE-MT2-105        0.99018855         0.15855706443     
atlas_1712_08119     SRE-MT2-110        0.83785185         0.145851286086    
atlas_1712_08119     SRE-MT2-120        0.6093468          0.1243823947      
atlas_1712_08119     SRE-MT2-130        0.0507789          0.0359061045312   
atlas_1712_08119     SRE-MT2-999        0.1015578          0.0507789         
atlas_1712_08119     SRI-MLL-03         0.0507789          0.0359061045312   
atlas_1712_08119     SRI-MLL-05         0.3554523          0.0949986231386   
atlas_1712_08119     SRI-MLL-10         1.59953535         0.201522511874    
atlas_1712_08119     SRI-MLL-20         3.1482918          0.282724949804    
atlas_1712_08119     SRI-MLL-30         3.42757575         0.294998751058    
atlas_1712_08119     SRI-MLL-40         3.47835465         0.297175893148    
atlas_1712_08119     SRI-MLL-60         3.47835465         0.297175893148    
atlas_1712_08119     SRI-MT2-102        1.19330415         0.174061299694    
atlas_1712_08119     SRI-MT2-105        3.8591964          0.313022162215    
atlas_1712_08119     SRI-MT2-110        6.01729965         0.3908656145      
atlas_1712_08119     SRI-MT2-120        7.3121616          0.430873254374    
atlas_1712_08119     SRI-MT2-130        7.48988775         0.436078124347    
atlas_1712_08119     SRI-MT2-999        7.69300335         0.441951494968    
