analysis             sr                 signal_normevents  signal_err_tot     
atlas_1604_01306     SR1                0.01951992         0.00218239340177   
atlas_1605_09318     SR-Gbb-A           0.0                0.000251624        
atlas_1605_09318     SR-Gbb-B           0.0                0.000251624        
atlas_1605_09318     SR-Gbb-C           0.000251624        0.000251624        
atlas_1605_09318     SR-Gtt-0L-A        0.0                0.000251624        
atlas_1605_09318     SR-Gtt-0L-B        0.0                0.000251624        
atlas_1605_09318     SR-Gtt-0L-C        0.0                0.000251624        
atlas_1605_09318     SR-Gtt-1L-A        0.0                0.000251624        
atlas_1605_09318     SR-Gtt-1L-B        0.0                0.000251624        
atlas_1609_01599     2muSS              0.0                0.000243999        
atlas_1609_01599     3lZ1b4j            0.0                0.000243999        
atlas_1609_01599     3lZ2b3j            0.0                0.000243999        
atlas_1609_01599     3lZ2b4j            0.0                0.000243999        
atlas_1609_01599     3lnoZ2b            0.0                0.000243999        
atlas_1609_01599     4lDF1b             0.0                0.000243999        
atlas_1609_01599     4lDF2b             0.0                0.000243999        
atlas_1609_01599     4lSF1b             0.0                0.000243999        
atlas_1609_01599     4lSF2b             0.0                0.000243999        
atlas_1704_03848     SRE1               0.10459918         0.0169682276287    
atlas_1704_03848     SRE2               0.04128915         0.0106608126886    
atlas_1704_03848     SRI1               0.21745619         0.024465732835     
atlas_1704_03848     SRI2               0.11285701         0.0176253038072    
atlas_1704_03848     SRI3               0.07156786         0.0140356121033    
atlas_1706_03731     Rpc2L0bH           0.0                0.00275261         
atlas_1706_03731     Rpc2L0bS           0.0                0.00275261         
atlas_1706_03731     Rpc2L1bH           0.0                0.00275261         
atlas_1706_03731     Rpc2L1bS           0.0                0.00275261         
atlas_1706_03731     Rpc2L2bH           0.0                0.00275261         
atlas_1706_03731     Rpc2L2bS           0.0                0.00275261         
atlas_1706_03731     Rpc2Lsoft1b        0.0                0.00275261         
atlas_1706_03731     Rpc2Lsoft2b        0.0                0.00275261         
atlas_1706_03731     Rpc3L0bH           0.0                0.00275261         
atlas_1706_03731     Rpc3L0bS           0.0                0.00275261         
atlas_1706_03731     Rpc3L1bH           0.0                0.00275261         
atlas_1706_03731     Rpc3L1bS           0.0                0.00275261         
atlas_1706_03731     Rpc3LSS1b          0.0                0.00275261         
atlas_1706_03731     Rpv2L0b            0.0                0.00275261         
atlas_1706_03731     Rpv2L1bH           0.0                0.00275261         
atlas_1706_03731     Rpv2L1bM           0.0                0.00275261         
atlas_1706_03731     Rpv2L1bS           0.0                0.00275261         
atlas_1706_03731     Rpv2L2bH           0.0                0.00275261         
atlas_1706_03731     Rpv2L2bS           0.0                0.00275261         
atlas_1708_07875     sr1-lowmass        0.0                0.00275261         
atlas_1708_07875     sr2-highmass       0.0                0.00275261         
atlas_1709_04183     SRA-T0             0.00275261         0.00275261         
atlas_1709_04183     SRA-TT             0.0                0.00275261         
atlas_1709_04183     SRA-TW             0.0                0.00275261         
atlas_1709_04183     SRB-T0             0.00275261         0.00275261         
atlas_1709_04183     SRB-TT             0.0                0.00275261         
atlas_1709_04183     SRB-TW             0.0                0.00275261         
atlas_1709_04183     SRC1               0.0                0.00275261         
atlas_1709_04183     SRC2               0.0                0.00275261         
atlas_1709_04183     SRC3               0.0                0.00275261         
atlas_1709_04183     SRC4               0.0                0.00275261         
atlas_1709_04183     SRC5               0.0                0.00275261         
atlas_1709_04183     SRD-high           0.0                0.00275261         
atlas_1709_04183     SRD-low            0.0                0.00275261         
atlas_1709_04183     SRE                0.0                0.00275261         
atlas_1712_02332     2j-1200            0.06331003         0.0132010538094    
atlas_1712_02332     2j-1600            0.04954698         0.0116783351818    
atlas_1712_02332     2j-2000            0.0275261          0.00870451711016   
atlas_1712_02332     2j-2100            0.07982569         0.0148232584998    
