analysis             sr                 signal_normevents  signal_err_tot    
atlas_1604_01306     SR1                0.259052625        0.0185511437921   
atlas_1605_09318     SR-Gbb-A           0.00136999         0.00136999        
atlas_1605_09318     SR-Gbb-B           0.00136999         0.00136999        
atlas_1605_09318     SR-Gbb-C           0.00136999         0.00136999        
atlas_1605_09318     SR-Gtt-0L-A        0.0                0.00136999        
atlas_1605_09318     SR-Gtt-0L-B        0.0                0.00136999        
atlas_1605_09318     SR-Gtt-0L-C        0.0                0.00136999        
atlas_1605_09318     SR-Gtt-1L-A        0.0                0.00136999        
atlas_1605_09318     SR-Gtt-1L-B        0.0                0.00136999        
atlas_1609_01599     2muSS              0.0                0.001328475       
atlas_1609_01599     3lZ1b4j            0.0                0.001328475       
atlas_1609_01599     3lZ2b3j            0.0                0.001328475       
atlas_1609_01599     3lZ2b4j            0.0                0.001328475       
atlas_1609_01599     3lnoZ2b            0.001328475        0.001328475       
atlas_1609_01599     4lDF1b             0.0                0.001328475       
atlas_1609_01599     4lDF2b             0.0                0.001328475       
atlas_1609_01599     4lSF1b             0.0                0.001328475       
atlas_1609_01599     4lSF2b             0.0                0.001328475       
atlas_1704_03848     SRE1               0.5844891          0.0935931605022   
atlas_1704_03848     SRE2               0.7043843          0.102745009931    
atlas_1704_03848     SRI1               2.7725765          0.203843878367    
atlas_1704_03848     SRI2               2.1880874          0.181087401702    
atlas_1704_03848     SRI3               1.4837031          0.149117772212    
atlas_1706_03731     Rpc2L0bH           0.0299738          0.0211946772379   
atlas_1706_03731     Rpc2L0bS           0.2248035          0.0580440141113   
atlas_1706_03731     Rpc2L1bH           0.0599476          0.0299738         
atlas_1706_03731     Rpc2L1bS           0.0149869          0.0149869         
atlas_1706_03731     Rpc2L2bH           0.0                0.0149869         
atlas_1706_03731     Rpc2L2bS           0.0                0.0149869         
atlas_1706_03731     Rpc2Lsoft1b        0.0299738          0.0211946772379   
atlas_1706_03731     Rpc2Lsoft2b        0.0149869          0.0149869         
atlas_1706_03731     Rpc3L0bH           0.3896594          0.0764184955483   
atlas_1706_03731     Rpc3L0bS           0.9441747          0.118954830971    
atlas_1706_03731     Rpc3L1bH           0.0149869          0.0149869         
atlas_1706_03731     Rpc3L1bS           0.0599476          0.0299738         
atlas_1706_03731     Rpc3LSS1b          0.0149869          0.0149869         
atlas_1706_03731     Rpv2L0b            0.0299738          0.0211946772379   
atlas_1706_03731     Rpv2L1bH           0.0149869          0.0149869         
atlas_1706_03731     Rpv2L1bM           0.0                0.0149869         
atlas_1706_03731     Rpv2L1bS           0.0149869          0.0149869         
atlas_1706_03731     Rpv2L2bH           0.0                0.0149869         
atlas_1706_03731     Rpv2L2bS           0.0                0.0149869         
atlas_1708_07875     sr1-lowmass        0.0                0.0149869         
atlas_1708_07875     sr2-highmass       0.0                0.0149869         
atlas_1709_04183     SRA-T0             0.0                0.0149869         
atlas_1709_04183     SRA-TT             0.0                0.0149869         
atlas_1709_04183     SRA-TW             0.0                0.0149869         
atlas_1709_04183     SRB-T0             0.0                0.0149869         
atlas_1709_04183     SRB-TT             0.0                0.0149869         
atlas_1709_04183     SRB-TW             0.0                0.0149869         
atlas_1709_04183     SRC1               0.0                0.0149869         
atlas_1709_04183     SRC2               0.0                0.0149869         
atlas_1709_04183     SRC3               0.0                0.0149869         
atlas_1709_04183     SRC4               0.0                0.0149869         
atlas_1709_04183     SRC5               0.0                0.0149869         
atlas_1709_04183     SRD-high           0.0                0.0149869         
atlas_1709_04183     SRD-low            0.0                0.0149869         
atlas_1709_04183     SRE                0.0                0.0149869         
atlas_1712_02332     2j-1200            0.2397904          0.0599476         
atlas_1712_02332     2j-1600            0.0749345          0.033511727172    
atlas_1712_02332     2j-2000            0.0299738          0.0211946772379   
atlas_1712_02332     2j-2100            0.0749345          0.033511727172    
atlas_1712_02332     2j-2400            0.0149869          0.0149869         
atlas_1712_02332     2j-2800            0.0                0.0149869         
atlas_1712_02332     2j-3600            0.0                0.0149869         
atlas_1712_02332     2j-B1600           0.0                0.0149869         
atlas_1712_02332     2j-B2400           0.0                0.0149869         
atlas_1712_02332     3j-1300            0.1348821          0.0449607         
atlas_1712_02332     4j-1000            0.0149869          0.0149869         
atlas_1712_02332     4j-1400            0.0299738          0.0211946772379   
atlas_1712_02332     4j-1800            0.0                0.0149869         
atlas_1712_02332     4j-2200            0.0                0.0149869         
atlas_1712_02332     4j-2600            0.0                0.0149869         
atlas_1712_02332     4j-3000            0.0                0.0149869         
atlas_1712_02332     5j-1600            0.0                0.0149869         
atlas_1712_02332     5j-1700            0.0149869          0.0149869         
atlas_1712_02332     5j-2000            0.0149869          0.0149869         
atlas_1712_02332     5j-2600            0.0                0.0149869         
atlas_1712_02332     6j-1200            0.0149869          0.0149869         
atlas_1712_02332     6j-1800            0.0                0.0149869         
atlas_1712_02332     6j-2200            0.0                0.0149869         
atlas_1712_02332     6j-2600            0.0                0.0149869         
atlas_1712_08119     SRE-MLL-03         0.0                0.0149869         
atlas_1712_08119     SRE-MLL-05         0.0599476          0.0299738         
atlas_1712_08119     SRE-MLL-10         0.6444367          0.0982756754199   
atlas_1712_08119     SRE-MLL-20         2.9374324          0.2098166         
atlas_1712_08119     SRE-MLL-30         2.9524193          0.210351165452    
atlas_1712_08119     SRE-MLL-40         0.1198952          0.0423893544759   
atlas_1712_08119     SRE-MLL-60         0.0599476          0.0299738         
atlas_1712_08119     SRE-MT2-102        1.4087686          0.14530338651     
atlas_1712_08119     SRE-MT2-105        3.8216595          0.239321601116    
atlas_1712_08119     SRE-MT2-110        6.9988823          0.32386964838     
atlas_1712_08119     SRE-MT2-120        5.0355984          0.274714414731    
atlas_1712_08119     SRE-MT2-130        2.5028123          0.193673430441    
atlas_1712_08119     SRE-MT2-999        2.7126289          0.201628118231    
atlas_1712_08119     SRI-MLL-03         0.0599476          0.0299738         
atlas_1712_08119     SRI-MLL-05         0.3596856          0.0734205156522   
atlas_1712_08119     SRI-MLL-10         2.4728385          0.192510216133    
atlas_1712_08119     SRI-MLL-20         9.3218518          0.373772204346    
atlas_1712_08119     SRI-MLL-30         15.6762974         0.484705169669    
atlas_1712_08119     SRI-MLL-40         16.2158258         0.492975617736    
atlas_1712_08119     SRI-MLL-60         16.3656948         0.495248454211    
atlas_1712_08119     SRI-MT2-102        3.6118429          0.232659253755    
atlas_1712_08119     SRI-MT2-105        12.8737471         0.439246582699    
atlas_1712_08119     SRI-MT2-110        29.7639834         0.66788460292     
atlas_1712_08119     SRI-MT2-120        42.3979401         0.797128401504    
atlas_1712_08119     SRI-MT2-130        48.3477394         0.851224256946    
atlas_1712_08119     SRI-MT2-999        54.7471457         0.905809029482    
atlas_1712_08119     SRM-MLL-03         0.0599476          0.0299738         
atlas_1712_08119     SRM-MLL-05         0.2397904          0.0599476         
atlas_1712_08119     SRM-MLL-10         1.4687162          0.148362740666    
atlas_1712_08119     SRM-MLL-20         3.9115809          0.242120779344    
atlas_1712_08119     SRM-MLL-30         3.4020263          0.225800416199    
atlas_1712_08119     SRM-MLL-40         0.4196332          0.0793032206476   
atlas_1712_08119     SRM-MLL-60         0.0899214          0.0367102578261   
atlas_1712_08119     SRM-MT2-102        2.2030743          0.181706505736    
atlas_1712_08119     SRM-MT2-105        5.4402447          0.285538794727    
atlas_1712_08119     SRM-MT2-110        9.891354           0.385020432266    
atlas_1712_08119     SRM-MT2-120        7.5983583          0.337454939223    
atlas_1712_08119     SRM-MT2-130        3.446987           0.227287591985    
atlas_1712_08119     SRM-MT2-999        3.6867774          0.235060341649    
atlas_1802_03158     SRaaSH             0.0149869          0.0149869         
atlas_1802_03158     SRaaSL             0.0                0.0149869         
atlas_1802_03158     SRaaWH             0.0749345          0.033511727172    
atlas_1802_03158     SRaaWL             0.0749345          0.033511727172    
atlas_1802_03158     SRajH              0.0                0.0149869         
atlas_1802_03158     SRajL              0.0                0.0149869         
atlas_1802_03158     SRajL200           0.0                0.0149869         
atlas_1803_02762     S-2l0j-DF-100      0.0                0.0149869         
atlas_1803_02762     S-2l0j-DF-150      0.0                0.0149869         
atlas_1803_02762     S-2l0j-DF-200      0.0                0.0149869         
atlas_1803_02762     S-2l0j-DF-300      0.0                0.0149869         
atlas_1803_02762     S-2l0j-SF-loose    0.0                0.0149869         
atlas_1803_02762     S-2l0j-SF-tight    0.0                0.0149869         
atlas_1803_02762     S-2lj-SR2-high     0.0                0.0149869         
atlas_1803_02762     S-2lj-SR2-int      0.0                0.0149869         
atlas_1803_02762     S-2lj-SR2-low      0.0                0.0149869         
atlas_1803_02762     S-3l-WZ-0Ja        0.0                0.0149869         
atlas_1803_02762     S-3l-WZ-0Jb        0.0                0.0149869         
atlas_1803_02762     S-3l-WZ-1Ja        0.0                0.0149869         
atlas_1803_02762     S-3l-WZ-1Jb        0.0                0.0149869         
atlas_1803_02762     S-3l-WZ-1Jc        0.0                0.0149869         
atlas_1803_02762     S-3l-WZ-OJc        0.0                0.0149869         
atlas_1803_02762     S-3l-slep-a        1.9333101          0.170218462975    
atlas_1803_02762     S-3l-slep-b        0.3896594          0.0764184955483   
atlas_1803_02762     S-3l-slep-c        0.0                0.0149869         
atlas_1803_02762     S-3l-slep-d        0.0                0.0149869         
atlas_1803_02762     S-3l-slep-e        0.0                0.0149869         
atlas_1807_07447     10j                0.0                0.00133263        
atlas_1807_07447     11j                0.0                0.00133263        
atlas_1807_07447     12j                0.0                0.00133263        
atlas_1807_07447     131b8j             0.0                0.00133263        
atlas_1807_07447     13j                0.0                0.00133263        
atlas_1807_07447     14j                0.0                0.00133263        
atlas_1807_07447     1b10j              0.0                0.00133263        
atlas_1807_07447     1b11j              0.0                0.00133263        
atlas_1807_07447     1b1j               1.19803437         0.039956683327    
atlas_1807_07447     1b2j               0.57702879         0.027730233977    
atlas_1807_07447     1b3j               0.16791138         0.01495873465     
atlas_1807_07447     1b4j               0.02531997         0.00580879949913  
atlas_1807_07447     1b5j               0.00799578         0.00326426351593  
atlas_1807_07447     1b6j               0.0                0.00133263        
atlas_1807_07447     1b7j               0.0                0.00133263        
atlas_1807_07447     1b8j               0.0                0.00133263        
atlas_1807_07447     1b9j               0.0                0.00133263        
atlas_1807_07447     1e1b4j             0.00266526         0.00188462341963  
atlas_1807_07447     1e1b5j             0.00133263         0.00133263        
atlas_1807_07447     1e1b6j             0.0                0.00133263        
atlas_1807_07447     1e1b7j             0.0                0.00133263        
atlas_1807_07447     1e1b9j             0.0                0.00133263        
atlas_1807_07447     1e1g               0.0                0.00133263        
atlas_1807_07447     1e1g1b             0.0                0.00133263        
atlas_1807_07447     1e1g1b1j           0.00399789         0.00230818286769  
atlas_1807_07447     1e1g1b2j           0.0                0.00133263        
atlas_1807_07447     1e1g1b3j           0.0                0.00133263        
