analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             3.128374569    0.755654916231  49.0    63.0    0.0385530715588   0.0299857223235  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.267314433856  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.001079455    0.25921452763   6.0     8.7     0                 0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            37.35120412    8.77163642017   194.0   284.0   0.118380002015    0.0808652126441  
atlas_1706_03731     Rpc3L0bS          9.0      11.0     3.0              14.83354748    5.46947507566   8.0     9.0     0.732951044491    0.651512039547   
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            2.92425930076   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.00243552     2.92425930076   76.0    57.0    0                 0                
atlas_1712_02332     6j-1200           250.0    249.0    30.0             0.00487104     2.92426031499   62.0    64.0    0                 0                
atlas_1712_08119     SRI-MT2-999       277.0    289.0    33.0             174.10123684   18.9516536857   59.0    66.0    2.42407669145     2.16697764842    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            2.92425930076   2.97    2.9     0                 0                
atlas_1803_02762     S-3l-slep-b       3.0      2.8      0.4              69.20066136    11.6982162326   5.1     5.0     9.80697779188     10.0031173477    
atlas_1807_07447     3m1j              18.0     21.8     2.5              28.3315321945  2.27438838581   8.8     11.1    2.79562900475     2.21635452629    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            11.2595853629   5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             38.786374      11.2757218625   36.0    33.0    0.56372750404     0.614975458953   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.34697675     11.2597259498   6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.15942175     11.2596478462   2.928   2.927   0                 0                
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             846.202671     81.9683675696   96.0    73.0    7.41431821027     9.75033627652    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0187555      11.2595892681   21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.00937775     11.2595853629   66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             48.02340475    19.4945151498   68.0    54.0    0.236064704475    0.297266664895   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.60955375     11.2598352939   10.4    11.1    0                 0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            11.2595853629   13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.744612332    0.366696353344  20.0    10.2    0.00716151562576  0.0140421875015  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.259214168013  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.77789375     1.06926805095   7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              7.661947325    2.54234050814   20.0    19.0    0.174625444583    0.183816257455   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            1.07735906213   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              32.2678185     4.93752111614   11.1    10.3    2.17750305131     2.3466295019     
atlas_conf_2016_096  3LH               0.0      0.98     0.5              53.570101105   6.14190507163   3.01    3.09    14.4509557434     14.0768209668    
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            118.29958964   15.6104889032   1520.0  722.0   0.0609857814729   0.12839111889    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            6.46414730177   2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.51577625     11.2597962425   21.0    18.0    0                 0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0   100.0            23.9461665     13.7928614819   186.0   213.0   0.00712835306304  0.0062247590128  
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            255.41267025   45.0333832587   1199.0  833.0   0.151424455134    0.217956688722   
