analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons          rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.252039774    0.310913034289  49.0     63.0     0.0151457632197   0.0117800380598  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.113360394838  2.9      3.9      0                 0                
atlas_1609_01599     3lnoZ2b          10.0      7.7       2.2              0.787416202    0.245806379745  10.2     8.3      0.0376758567862   0.0463004505083  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            13.25494299    3.39610068073   194.0    284.0    0.0396151436784   0.0270610488507  
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              14.40905682    3.50764127014   8.0      9.0      1.08206564212     0.961836126331   
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.24009443421   7.22     6.137    0                 0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.002429595    1.24009443421   76.0     57.0     0                 0                
atlas_1712_02332     6j-1200          250.0     249.0     30.0             0.002429595    1.24009443421   62.0     64.0     0                 0                
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             119.623033845  10.2261753741   59.0     66.0     1.74325603782     1.55836524593    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            1.24009443421   2.97     2.9      0                 0                
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              66.77482572    7.54355013247   6.8      5.1      8.00050051511     10.6673340201    
atlas_1807_07447     3m1j             18.0      21.8      2.5              28.515151642   1.48558303396   8.8      11.1     2.96349948481     2.349441033      
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            4.7748785231    5.8      5.4      0                 0                
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              20.9176682     4.79531658343   14.1     14.4     0.925769432849    0.906482569665   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.2993584      4.77516260227   6.5      5.9      0                 0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.2058089      4.77507096567   2.928    2.927    0                 0                
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             519.31898035   41.7631614497   96.0     73.0     4.69611870388     6.17571774757    
atlas_2004_10894     Cat4             17.0      12.8      1.4              10.3536888     5.84825860514   13.1     9.0      0.0582095181351   0.0847271875078  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00935495     4.7748785231    66.0     57.0     0                 0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             27.09464955    9.54967919364   38.0     29.0     0.300873044011    0.39424743698    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.51452225     4.77537335976   10.4     11.1     0                 0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.7748785231    13.0     11.5     0                 0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.478648362    0.190402718799  20.0     10.2     0.00831939515848  0.0163125395264  
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.109925263506  115.0    101.0    0                 0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.346381165    0.453466299645  7.2      7.3      0                 0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.071753535    1.34511535951   20.0     19.0     0.143288217271    0.15082970239    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.456876710717  6.34     3.17     0                 0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              38.45417078    3.50938227686   11.1     10.3     2.94583638252     3.17463920834    
atlas_conf_2016_096  3LH              0.0       0.98      0.5              48.453814375   3.79556601798   3.01     3.09     14.0295967128     13.6663709079    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            72.21531816    7.94055247758   1520.0   722.0    0.0389426395373   0.0819845042891  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            2.74126026426   2.87     2.94     0                 0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              3.9187871      4.77540084919   21.0     18.0     0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            23.79385915    8.9332074538    317.0    216.0    0.0288435297343   0.0423305505823  
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           1923.62780865  80.4678577302   20140.0  13460.0  0.0889603039708   0.133109994203   
