analysis             sr                o        b        db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             2.9487025775  0.733674595914  49.0    63.0    0.0356219640857  0.0277059720667  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.267528039082  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.002155935   0.259422213456  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            31.19260608   8.01435987604   194.0   284.0   0.0930363705324  0.0635530136735  
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.00243216    2.92659693294   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           2.92659693294   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.00243216    2.92659693294   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0    378.0    28.0             6.21981864    3.58540169879   86.0    67.0    0.0039506959765  0.0050710425967  
atlas_1712_08119     SRI-MLL-30        40.0     38.0     6.0              136.64093616  16.8115639775   19.0    18.0    5.74052480194    6.05944284649    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           2.92659693294   2.97    2.9     0                0                
atlas_1803_02762     S-3l-slep-b       3.0      2.8      0.4              32.48408304   8.01455583931   5.1     5.0     3.79219832618    3.86804229271    
atlas_1807_07447     MET2m1j           17.0     16.0     5.0              13.913310012  1.57186567588   13.0    13.0    0.871957715658   0.871957715658   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           11.2686034512   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100   147.0    144.0    12.0             37.24400845   11.2840648967   36.0    33.0    0.520503944984   0.567822485438   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.2434861     11.2687007348   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.1123782     11.2686462561   2.928   2.927   0                0                
atlas_1911_12606     E-inc-40          492.0    420.0    30.0             924.5231346   85.8085677262   131.0   74.0    5.98318384373    10.5918524801    
atlas_2004_10894     Cat9              71.0     69.0     4.0              7.961         11.2686034512   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0           11.2686034512   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             48.08018065   19.5178521214   68.0    54.0    0.236336811337   0.29760931798    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.3933237     11.2687629959   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           11.2686034512   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.19621061    0.259426692656  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0002155935  0.259421407192  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              1.54716416    1.07012865746   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              8.51537632    2.68145437633   20.0    19.0    0.205889557141   0.216725849622   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           1.07821843435   6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              9.33668866    2.6407235341    11.1    10.3    0.450982167934   0.486009909133   
atlas_conf_2016_096  3LH               0.0      0.98     0.5              9.81279246    2.41180526813   3.01    3.09    1.94599063796    1.89560900332    
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            105.7218228   14.776792426    582.0   410.0   0.140013545054   0.198750934686   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           6.46932474822   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.45887765    11.268790235    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-10  6986.0   6890.0   300.0            47.8131297    19.5119934779   652.0   581.0   0.0242537736139  0.0272176598903  
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            391.0620801   55.7777883053   1199.0  833.0   0.249863642435   0.359647667802   
