analysis             sr                o         b         db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             4.782997544   0.934300743231  49.0    63.0    0.0663417209204  0.0515991162714  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.26722602848   2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000647439   0.259128064064  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            58.0768712    10.9387115971   194.0   284.0   0.206893732891   0.141328817538   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00486928    2.92329139286   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           2.92329037902   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00243464    2.92329037902   76.0    57.0    0                0                
atlas_1712_02332     6j-1200           250.0     249.0     30.0             2.07292928    2.92329139286   62.0    64.0    0                0                
atlas_1712_08119     SRI-MLL-20        34.0      29.0      6.0              167.49456992  18.60293988     20.0    17.0    6.84928742584    8.05798520687    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           2.92329037902   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              9.5681352     2.92727102901   8.4     9.0     0.567548894335   0.52971230138    
atlas_1807_07447     MET2e1j           15.0      16.5      3.4              4.4487306125  0.86216695752   9.9     10.7    0.30654311133    0.283624000203   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           11.2559076894   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             38.106936     11.271761162    36.0    33.0    0.545034658175   0.594583263464   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.140616      11.255962341    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.1218672     11.2559545337   2.928   2.927   0                0                
atlas_1911_12606     E-inc-20          383.0     301.0     23.0             1257.8414784  100.041673728   130.0   63.0    8.41363948836    17.3614783093    
atlas_2004_10894     Cat9              71.0      69.0      4.0              0.0           11.2559076894   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0093744     11.2559076894   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             56.1113748    21.0593821714   68.0    54.0    0.317264529984   0.399518297017   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.3374784     11.2560443181   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           11.2559076894   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.009064146   0.259131568939  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.000215813   0.259127884326  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.03204828    1.0689185036    7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              5.978221075   2.24258869961   20.0    19.0    0.115018780382   0.121072400402   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           1.07700190335   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.0143516     1.07700750614   6.3     6.1     0                0                
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             14.41410675   2.52697262751   17.7    24.6    0.580218736773   0.417474456946   
atlas_conf_2017_060  EM6               2975.0    2825.0    78.0             58.03548232   10.9387069911   302.0   184.0   0.132768221373   0.217913058993   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           6.46201142679   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.421848      11.2560794509   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             31.9021208    15.9182711128   116.0   119.0   0.0499668635776  0.048707194748   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           1036.3681688  90.7500697252   3986.0  2400.0  0.222663837042   0.369807522688   
