analysis             sr               o         b         db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             4.966618538   0.95134580641   49.0    63.0    0.0695186003161  0.0540700224681  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.267033096762  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000431547   0.258941391772  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            58.09503157   10.931595019    194.0   284.0   0.207047503809   0.141433858236   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00486838    2.92118573142   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           2.92118471723   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             2.07198419    2.92118471723   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             18.62587447   6.19809415375   86.0    67.0    0.0983837216029  0.126283582953   
atlas_1712_08119     SRI-MLL-10       12.0      8.9       2.5              171.41446961  18.8101417141   11.4    9.3     12.3303365964    15.1146061504    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00486838    2.92118573142   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              10.82727712   2.92569135019   8.4     9.0     0.717755155439   0.669904811743   
atlas_1807_07447     MET2m1j          17.0      16.0      5.0              3.392360485   0.735280371277  13.0    13.0    0.1681923597     0.1681923597     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           11.2477600177   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0     144.0     12.0             43.04858145   11.265677825    36.0    33.0    0.682579717138   0.744632418696   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.08435385    11.2477912582   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.1499624     11.2478185936   2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-10     9.0       11.0      2.0              318.1972265   50.2966805616   7.0     8.0     33.6729529113    29.4638337974    
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.0           11.2477600177   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00937265    11.2477600177   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             79.85677865   25.1315216583   68.0    54.0    0.568251222507   0.715575613527   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.187453      11.2478342138   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           11.2477600177   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.010357128   0.258945527187  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0002157735  0.258941301871  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.032932405   1.06814643758   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.9728325     2.23867349772   20.0    19.0    0.115070398187   0.121126734934   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           1.07622594631   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.01255534    1.07623080378   6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF            19.0      20.7      5.0              5.02482643    1.07831711377   11.9    13.0    0.273645912893   0.250491258725   
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            151.09775051  17.647956073    582.0   410.0   0.209888492354   0.297939274513   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           6.45734862039   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.21557095    11.2478459289   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            103.6337436   28.6805299759   317.0   216.0   0.178541559746   0.262026270553   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           1346.6718548  103.423161306   3986.0  2400.0  0.295298010602   0.490440779275   
