analysis             sr                o         b         db               s              ds               s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             1.02405674     0.207284953498   49.0     63.0     0.0139614166585    0.0108588796232    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.0617051174548  2.9      3.9      0                  0                  
atlas_1609_01599     3lnoZ2b           10.0      7.7       2.2              0.39153705     0.126940676346   10.2     8.3      0.0179759157639    0.0220908844327    
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            13.4618632     2.52577789557    194.0    284.0    0.0480391105735    0.0328154487721    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              11.85560545    2.33859021328    8.0      9.0      1.00253968753      0.891146388913     
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            0.675016981048   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.48223996     0.675021332382   76.0     57.0     0                  0                  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             4.3199048      1.43190970274    86.0     67.0     0.0229252661338    0.0294264610076    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             87.73141957    6.45687798581    59.0     66.0     1.30749389277      1.16882029808      
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00484746     0.675021332382   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              63.61860855    5.35853329048    5.1      5.0      10.7511007752      10.9661227907      
atlas_1807_07447     3m1j              18.0      21.8      2.5              14.8474357425  0.788352576711   8.8      11.1     1.54028835417      1.22112950601      
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            2.59909383795    5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0      37.3      3.0              17.68480325    2.63063537179    14.1     14.4     0.948266754629     0.928511197241     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.3359646      2.59968017743    6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.15864995     2.59936189527    2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             439.7741069    28.3530606378    96.0     73.0     4.09661549431      5.38732996512      
atlas_2004_10894     Cat4              17.0      12.8      1.4              5.67245995     3.18363227276    13.1     9.0      0.0344506124178    0.050144780297     
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00933235     2.59909383795    66.0     57.0     0                  0                  
atlas_2101_01629     4J_lx_bveto_1600  57.0      56.0      6.0              16.75607405    5.51399172536    20.0     19.0     0.385656381021     0.405954085285     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.4106234      2.59981417932    10.4     11.1     0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            2.59909383795    13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.14197592     0.0733089799568  20.0     10.2     0.00108745964354   0.00213227381087   
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.129944544    0.073291347711   3717.0   3549.0   2.62220439977e-06  2.74633241869e-06  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              1.24286526     0.461740118113   7.2      7.3      0.0674460369853    0.0665221186704    
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              4.9268636      0.978434775872   20.0     19.0     0.166111528379     0.174854240398     
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.248690355095   6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              33.0835601     2.39837483145    11.1     10.3     2.62614643031      2.83011896858      
atlas_conf_2016_096  3LH               0.0       0.98      0.5              34.29962589    2.346685968      3.01     3.09     10.1166315291      9.85471226617      
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            58.11334527    5.25028430489    1520.0   722.0    0.0325676835592    0.0685635443351    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0053577      1.49214283769    2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.5786057      2.60011565831    21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22    2108.0    1969.0    100.0            16.5794294     5.51406498605    317.0    216.0    0.0237740152141    0.0348905686244    
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1354.28495185  49.7913813734    20140.0  13460.0  0.0631890311022    0.0945488177116    
