analysis             sr                o         b         db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             0.05056317    0.00992673879727  49.0    63.0    0.000699659558622  0.000544179656706  
atlas_1605_09318     SR-Gbb-C          5.0       7.6       1.7              0.016595322   0.00620196024051  5.4     6.9     0.00118964948251   0.000931030029793  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.010297685   0.00456680797914  6.0     8.7     0.000468019985701  0.000322772403931  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            0.6141058     0.118170744368    194.0   284.0   0.00216652463524   0.00147994992689   
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              0.1660028     0.0518576472195   8.0     9.0     0.01011953232      0.00899513984      
atlas_1708_07875     sr1-lowmass       10.0      14.0      6.0              0.42010438    0.103659646211    9.386   11.191  0.0266463413822    0.0223485443851    
atlas_1709_04183     SRB-TW            53.0      52.4      7.4              0.3896667     0.0997383713662   20.7    20.5    0.0109225010125    0.011029061998     
atlas_1712_02332     6j-1200           250.0     249.0     30.0             1.1112866     0.167919838497    62.0    64.0    0.0134822268527    0.0130609072635    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             0.41248064    0.0995516890052   59.0    66.0    0.00422399779714   0.00377599803078   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00070186    0.036372146752    2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-WZ-OJc       2.0       1.6       0.3              2.38756758    0.243005064598    4.5     3.8     0.442008727569     0.523431387911     
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              0.454243606   0.0288270683854   6.1     7.3     0.0667159366964    0.0557489334038    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.00540491    0.140073946744    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0      37.3      3.0              10.69539641   0.308639070351    14.1    14.4    0.72264030742      0.707585301016     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.002702455   0.140047875005    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.462155965   0.200449792417    2.928   2.927   0.0455663611464    0.045581928745     
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             14.041542765  1.1480747371      96.0    73.0    0.126653127043     0.166557536934     
atlas_2004_10894     Cat12             22.0      16.6      1.7              1.59601023    0.395085706715    15.2    9.9     0.0623730046702    0.0957646132311    
atlas_2004_14060     SRB-TW            84.0      81.0      7.0              0.59530291    0.240900357922    25.0    23.0    0.0080090529203    0.00870549230468   
atlas_2101_01629     4J_lx_bveto_1600  57.0      56.0      6.0              1.710177465   0.369514759143    20.0    19.0    0.0552086630003    0.0581143821055    
atlas_2103_11684     SR0-ZZloose       157.0     161.0     42.0             0.844895205   0.284950330838    66.0    68.0    0.0057208585216    0.00555259797685   
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           0.140047875005    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.3760267     0.0289902066544   20.0    10.2    0.0164241380543    0.0322041922634    
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.13717231    0.017067508878    3717.0  3549.0  2.9373579618e-05   3.07640449254e-05  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.218950056   0.0257234832943   7.2     7.3     0.0245504921385    0.024214184027     
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              0.344222271   0.0584716449486   20.0    19.0    0.0124164386642    0.013069935436     
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.0134002548087   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              1.3908652545  0.109841610369    11.1    10.3    0.10907432554      0.117546117815     
atlas_conf_2016_096  3LI               2.0       4.41      1.14             6.3863223015  0.241050764103    3.93    5.67    1.52442723877      1.05661358878      
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            17.21525124   0.656974322627    1355.0  1235.0  0.0119098253512    0.0130670553449    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           0.0804018144101   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              2.300696655   0.467296893448    21.0    18.0    0.0730633214164    0.0852405416525    
atlas_conf_2019_040  MB-GGd-4-1600-10  228.0     234.0     13.0             1.69969632    0.409732841695    35.0    38.0    0.0293638417034    0.0270456436742    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           69.209613815  2.5792357209      3986.0  2400.0  0.0163019737162    0.027074861347     
