analysis             sr                o         b         db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             3.24039695     0.461345747509   49.0    63.0    0.0506895902875  0.0394252368903  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.0961166931458  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.0932044731924  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            35.804890925   5.1511386829     194.0   284.0   0.141015584974   0.0963275474825  
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00283178     1.05146166739    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            1.05146095241    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00141589     1.05146119074    76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             7.459728075    2.35114136278    86.0    67.0    0.0419053051168  0.0537888991051  
atlas_1712_08119     SRI-MLL-30        40.0      38.0      6.0              31.97622856    4.87546587328    19.0    18.0    1.26212971199    1.33224802932    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0            1.05146095241    2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              5.767627915    1.05340058695    8.4     9.0     0.480958446714   0.448894550266   
atlas_1807_07447     MET1g1j           106.0     103.0     21.0             5.42882385     0.598658655727   44.0    40.0    0.101068719423   0.111175591365   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            4.04855847676    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              10.5436845     4.05210551137    11.0    15.0    0.354384678304   0.259882097423   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00545175     4.04855939442    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.051791625    4.04857499459    2.928   2.927   0                0                
atlas_1911_12606     E-inc-30          453.0     366.0     27.0             154.6228005    21.0370488038    142.0   70.0    0.845929862407   1.71602914945    
atlas_2004_10894     Cat9              71.0      69.0      4.0              5.7364285      4.04856122973    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.002725875    4.04855847676    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             22.970551875   8.09723442184    68.0    54.0    0.142515991517   0.179464581911   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.024532875    4.04856581802    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            4.04855847676    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00282393     0.0932054027292  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.00031377     0.0932045576961  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.02226196     0.384474533303   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              3.971921584    1.09903815636    20.0    19.0    0.108474950378   0.114184158293   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.387379699605   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.00521642     0.387381367892   6.3     6.1     0                0                
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             3.96494525     0.82197947251    17.7    24.6    0.147847396332   0.106378004678   
atlas_conf_2017_060  IM3               76808.0   73000.0   1900.0           373.844190645  16.6582906502    6874.0  3767.0  0.050410909802   0.0919895391502  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            2.32427819755    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.002725875    4.04855847676    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0    2589.0    100.0            31.5011385     9.49466467445    186.0   213.0   0.0856445614726  0.0747882086098  
atlas_conf_2020_048  EM03              141036.0  139200.0  1600.0           724.995341     45.5348453578    4667.0  3172.0  0.139343945707   0.205018346347   
