analysis             sr               o        b        db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             7.729152168    0.841102811184  49.0    63.0    0.129586603218    0.10078958028     
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.133840491435  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.129784879634  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             45.670980455   6.86713565897   96.0    116.0   0.358425812232    0.296628258399    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            1.46413206145   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.46413206145   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             3.10773539     1.79343510332   76.0    57.0    0.00219081342839  0.00292108457119  
atlas_1712_02332     2j-1200          582.0    517.0    31.0             27.97327546    5.37964764662   128.0   77.0    0.149614479059    0.248709783371    
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.0            1.46413206145   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0            1.46413206145   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              8.729417825    1.46624007511   8.4     9.0     0.752950488311    0.70275378909     
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           547.350222468  7.09623270998   5551.0  5525.0  0.0965073681902   0.0969615205111   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            5.63751954875   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              20.20255688    5.64239927589   14.1    14.4    0.776526387768    0.76034875469     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            5.63751954875   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.07084792     5.6375360125    2.928   2.927   0                 0                 
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            5.63751954875   33.0    26.0    0                 0                 
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            5.63751954875   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00272492     5.63751954875   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             0.00817476     5.63752086585   38.0    29.0    0                 0                 
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            5.63751954875   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            5.63751954875   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.001819228    0.129785304137  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.129784879634  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.023289255    0.535367177958  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.001160542    0.600254085367  5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.539417223843  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.00677898     0.539418799155  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              2.65370994     0.540058122049  8.3     9.1     0.213013809619    0.194287320861    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            461.14319473   21.8396943863   1520.0  722.0   0.279819799958    0.589094315702    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00156438     3.23650263624   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            5.63751954875   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            139.6522714    23.5848245043   317.0   216.0   0.318527316129    0.467468329689    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            957.44832848   61.7557300613   1199.0  833.0   0.714069166955    1.02781384295     
