analysis             sr               o        b        db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             6.9841406405   0.730172219345  49.0    63.0    0.118095065322   0.0918517174726  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.111628505205  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.108246058889  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            84.81733832    8.54798770993   194.0   284.0   0.364941435442   0.249290980548   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            1.22115255424   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.22115255424   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             1.72979976     1.22115316899   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0    378.0    28.0             12.96725612    3.3439320674    86.0    67.0    0.0870140410402  0.111689664619   
atlas_1712_08119     SRI-MLL-05       4.0      3.1      1.2              4.31896476     1.93023492384   6.5     5.5     0.177442997677   0.209705360891   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00212232     1.22115296407   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              8.35698872     1.22357064706   8.4     9.0     0.755992007002   0.705592539869   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           473.997342346  6.03057841665   5551.0  5525.0  0.0836078533134  0.0840013020349  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            4.70193619732   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              17.82273942    4.70709513996   14.1    14.4    0.716532155352   0.701604402115   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            4.70193619732   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0544788      4.70195118869   2.928   2.927   0                0                
atlas_1911_12606     E-inc-03         90.0     77.0     12.0             16.62160894    7.43219240288   39.0    30.0    0.113661882033   0.147760446643   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.00272394     4.70193619732   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00272394     4.70193619732   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             3.32856288     4.70193698634   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            4.70193619732   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            4.70193619732   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0019439945   0.108246603824  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.108246058889  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0230222085   0.446521321604  7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.001160124    0.500638362957  5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.449897527621  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.004430812    0.449898735559  6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              2.40045756     0.450592235935  8.3     9.1     0.200179071454   0.182580911326   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            343.20460748   17.2057115574   1520.0  722.0   0.207228447714   0.436270416241   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            2.69938445827   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            4.70193619732   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            103.18237866   18.5130322035   317.0   216.0   0.229719261345   0.337134286325   
atlas_conf_2020_048  EM06             10203.0  9930.0   170.0            366.07239856   34.871446229    594.0   381.0   0.52000543223    0.810717130563   
