analysis             sr                o         b         db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             2.344836488   0.267568309617   49.0    63.0    0.038898458372   0.0302543565116  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.0447596131797  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000124956   0.0434032826273  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            28.86277308   3.15450282058    194.0   284.0   0.122110249764   0.0834133396277  
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0           0.489642922991   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           0.489642922991   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.34962032    0.489644444869   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             9.01799158    1.76498572537    86.0    67.0    0.0712024998883  0.0913942535879  
atlas_1712_08119     SRI-MLL-20        34.0      29.0      6.0              18.01597147   2.49749022167    20.0    17.0    0.696004375323   0.818828676851   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           0.489642922991   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              6.03404963    0.493966268535   8.4     9.0     0.621898208286   0.580438327734   
atlas_1807_07447     MET1g2j           38.0      43.0      10.0             1.820062123   0.23653651864    18.0    20.0    0.0795634573572  0.0716071116215  
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           1.88533151719    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              11.64799442   1.89369450595    11.0    15.0    0.776575948204   0.569489028683   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.002713885   1.88533151719    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.062419355   1.88537448892    2.928   2.927   0                0                
atlas_1911_12606     E-inc-20          383.0     301.0     23.0             106.69598162  11.925352218     130.0   63.0    0.67029541525    1.38314926956    
atlas_2004_10894     Cat12             22.0      16.6      1.7              5.393906585   2.66848920757    15.2    9.9     0.0669463345119  0.102786291372   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00542777    1.88533347047    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             10.68468554   3.77377654682    68.0    54.0    0.0661131176943  0.0832535556151  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00542777    1.88533347047    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           1.88533151719    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.002936466   0.0434053061313  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             6.2478e-05    0.0434032376595  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.0177827835  0.179051065257   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.711533815   0.491577983488   20.0    19.0    0.045267296104   0.0476497853726  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.180395040253   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.007011198   0.18039989951    6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              1.297590978   0.181326373583   8.3     9.1     0.120507918714   0.10991381597    
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            158.49769542  7.40190112606    1355.0  1235.0  0.108013710386   0.118508969695   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.001558045   1.08237094979    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.002713885   1.88533151719    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0    2589.0    100.0            32.03100885   6.53277690822    186.0   213.0   0.114608896347   0.100081008078   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           687.66328461  30.2559919931    3986.0  2400.0  0.160071113332   0.265851440726   
