analysis             sr                 o          b          db               s              ds               s95obs    s95exp    robscons           rexpcons           
atlas_1604_01306     SR1                264.0      295.0      34.0             2.344836488    0.267568309617   49.0      63.0      0.038898458372     0.0302543565116    
atlas_1605_09318     SR-Gbb-A           0.0        1.3        0.4              0.0            0.0447596131797  2.9       3.9       0                  0                  
atlas_1605_09318     SR-Gbb-B           0.0        1.5        0.6              0.0            0.0447596131797  3.0       3.8       0                  0                  
atlas_1605_09318     SR-Gbb-C           5.0        7.6        1.7              0.031726311    0.0447596595528  5.4       6.9       0                  0                  
atlas_1605_09318     SR-Gtt-0L-A        1.0        2.1        0.5              0.0            0.0447596131797  3.5       4.4       0                  0                  
atlas_1605_09318     SR-Gtt-0L-B        1.0        2.9        1.8              0.0            0.0447596131797  3.6       4.6       0                  0                  
atlas_1605_09318     SR-Gtt-0L-C        1.0        3.4        1.8              0.0            0.0447596131797  3.4       5.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-A        2.0        1.2        0.6              0.0003221525   0.0447597986719  4.7       4.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-B        0.0        1.2        0.8              0.000644305    0.0447600305362  2.9       3.5       0                  0                  
atlas_1609_01599     2muSS              9.0        5.5        1.6              6.2478e-05     0.0434032376595  10.4      7.4       0                  0                  
atlas_1609_01599     3lZ1b4j            7.0        11.0       2.8              0.000124956    0.0434032826273  6.0       8.7       0                  0                  
atlas_1609_01599     3lZ2b3j            4.0        2.8        0.5              0.0            0.0434032376595  6.3       5.1       0                  0                  
atlas_1609_01599     3lZ2b4j            8.0        7.2        0.9              0.0            0.0434032376595  7.9       6.9       0                  0                  
atlas_1609_01599     3lnoZ2b            10.0       7.7        2.2              0.000124956    0.0434032826273  10.2      8.3       0                  0                  
atlas_1609_01599     4lDF1b             2.0        1.1        0.1              0.0            0.0434032376595  4.7       3.9       0                  0                  
atlas_1609_01599     4lDF2b             0.9        1.0        0.1              0.0            0.0434032376595  3.0       3.0       0                  0                  
atlas_1609_01599     4lSF1b             1.0        1.1        0.1              0.000124956    0.0434032826273  3.6       4.0       0                  0                  
atlas_1609_01599     4lSF2b             1.0        0.9        0.1              0.0            0.0434032376595  3.6       3.0       0                  0                  
atlas_1704_03848     SRE1               1671.0     1900.0     140.0            17.37875587    2.44886816365    150.0     236.0     0.0890840805441    0.0566212376339    
atlas_1704_03848     SRE2               493.0      501.0      44.0             6.95206837     1.54839152902    86.0      90.0      0.051310537935     0.0490300695824    
atlas_1704_03848     SRI1               2400.0     2600.0     160.0            28.86277308    3.15450282058    194.0     284.0     0.122110249764     0.0834133396277    
atlas_1704_03848     SRI2               729.0      765.0      59.0             11.48401721    1.98844983896    96.0      116.0     0.0856558278552    0.0708875816733    
atlas_1704_03848     SRI3               236.0      273.0      37.0             4.53194884     1.24756420073    47.0      64.0      0.0528924159746    0.0388428679813    
atlas_1706_03731     Rpc2L0bH           3.0        2.4        1.0              0.0            0.489642922991   5.6       5.1       0                  0                  
atlas_1706_03731     Rpc2L0bS           7.0        6.0        1.8              0.00140966     0.489643430284   8.3       7.3       0                  0                  
atlas_1706_03731     Rpc2L1bH           13.0       9.8        2.6              0.00070483     0.489642922991   11.9      9.6       0                  0                  
atlas_1706_03731     Rpc2L1bS           14.0       9.8        2.9              0.0            0.489642922991   13.5      9.9       0                  0                  
atlas_1706_03731     Rpc2L2bH           0.0        1.08       0.32             0.0            0.489642922991   3.02      3.6       0                  0                  
