analysis             sr                o         b         db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             0.414211924    0.0605588882577  49.0    63.0    0.00642643565831   0.00499833884536   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              6.4354e-05     0.013019471679   2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.00031202     0.0126255526939  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0     765.0     59.0             2.4327239      0.493714592214   96.0    116.0   0.016906583008     0.0139916549032    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              0.23380027     0.142503283872   8.0     9.0     1.18605561628e-05  1.05427165892e-05  
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            0.142425010132   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.30473498     0.174319026054   76.0    57.0    0.000248049700945  0.000330732934593  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             4.85951331     0.69756397135    86.0    67.0    0.0432035860115    0.0554553492088    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             6.57474878     0.811670227201   59.0    66.0    0.0888747391083    0.079448630415     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.000703995    0.142425010132   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              3.05956227     0.149794206972   8.4     9.0     0.334988067924     0.312655530063     
atlas_1807_07447     MET5j             72.0      107.0     44.0             1.841870551    0.128210761598   37.0    46.0    0.0440974297832    0.0354696717822    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            0.548396376279   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              6.432408045    0.564063242168   11.0    15.0    0.500667666168     0.367156288523     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.002710665    0.548396376279   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.438479635    0.548516949785   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             12.86083872    2.19327985854    96.0    73.0    0.0964985390833    0.126902188384     
atlas_2004_10894     Cat12             22.0      16.6      1.7              1.97283431     0.948598386987   15.2    9.9     0.0274429575883    0.0421346419537    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.39398283     0.548403075503   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             5.863412305    1.50207310572    68.0    54.0    0.0500001825237    0.0629631928076    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.01084266     0.548416473704   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            0.548396376279   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.012814348    0.0126343402519  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.04312368     0.0199487486564  3717.0  3549.0  2.80003556726e-06  2.93258162962e-06  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.020078409    0.0521268853407  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              0.79294196     0.179802237345   20.0    19.0    0.0249033145377    0.0262140153028    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.0524724577395  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              1.140193034    0.199778261436   11.1    10.3    0.0732033049771    0.0788889985675    
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             3.21167413     0.273328127667   17.7    24.6    0.156125197776     0.112333983765     
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            39.68525804    1.99406598715    1355.0  1235.0  0.0268745312333    0.0294858217175    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00311239     0.314838804444   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.029817315    0.548463364833   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-GGd-4-1600-16  95.0      102.0     6.0              2.717887665    1.02624612078    19.0    24.0    0.0544654751009    0.0431185011215    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           145.512263805  7.49001862891    3986.0  2400.0  0.0334241428132    0.0555119305223    
