analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.7272979045  0.16307796326    49.0    63.0    0.0297928580562  0.0231722229326  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0225732047563  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0           0.0218891821816  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0     765.0     59.0             9.30220204    1.27118608466    96.0    116.0   0.0751818423037  0.0622194556996  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0           0.246937207207   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.246937207207   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.17524878    0.246937207207   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             5.08279256    0.940324474418   86.0    67.0    0.0411704700227  0.0528456779396  
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              6.2898904     1.04772900853    20.0    17.0    0.228580741301   0.268918519177   
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0           0.246937207207   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              5.17590432    0.254215187262   8.4     9.0     0.566546596773   0.528776823654   
atlas_1807_07447     MET1g1j          106.0     103.0     21.0             1.404714683   0.147292023302   44.0    40.0    0.0264353582905  0.0290788941196  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           0.950808003207   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              10.37986425   0.965503096146   11.0    15.0    0.799676288393   0.586429278155   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0           0.950808003207   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.04341904    0.950866089765   2.928   2.927   0                0                
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             28.25100845   4.35713612507    130.0   63.0    0.162348501576   0.335004844522   
atlas_2004_10894     Cat8             4.0       5.2       1.0              2.02484607    1.16435473607    5.2     6.3     0.0221739043924  0.0183022702922  
atlas_2004_14060     SRD1             4.0       3.1       1.0              2.016705      1.16434841143    6.4     5.7     0.0167458758223  0.0188023868882  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             7.43868404    2.2297828738     68.0    54.0    0.0556152959848  0.0700340764253  
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00814107    0.950815748287   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.950808003207   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0024364665  0.0218925697037  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0           0.0218891821816  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.019327725   0.0903198165796  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              0.796547564   0.237385974594   20.0    19.0    0.0203617282833  0.021433398193   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0909767356043  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.010126545   0.090990814968   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              1.314113955   0.0928327273082  8.3     9.1     0.139984130387   0.12767783321    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            81.10692266   3.75719876533    1520.0  722.0   0.049305997819   0.103802100672   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.545861473879   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00814107    0.950815748287   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            25.62363332   4.14440126326    317.0   216.0   0.0593905843793  0.0871611817049  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           552.34276327  19.2524251687    3986.0  2400.0  0.130649469642   0.216986994164   
