analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             0.7769721725   0.0831599662381  49.0    63.0    0.0130732617933   0.0101680925059   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.0130779018558  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0093041125   0.012682211271   6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            8.658977685    0.932583777722   194.0   284.0   0.036750207678    0.025104015104    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0            0.143064134741   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            0.143064134741   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.20429351     0.175381082701   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             5.490652445    0.743464064968   86.0    67.0    0.0496671090518   0.0637518116187   
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             8.430495975    0.921906680975   59.0    66.0    0.117263881664    0.104826803306    
atlas_1802_03158     SRaaWL           6.0       3.7       1.1              0.311504305    0.17539379011    8.1     6.2     0.00294549249628  0.00384814342255  
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              3.22882794     0.150795076793   8.4     9.0     0.354943335007    0.331280446007    
atlas_1807_07447     MET3j            1463.0    1460.0    550.0            16.7977103925  0.388044423852   759.0   756.0   0.0212929084814   0.02137740415     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            0.55085596541    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              6.94778618     0.567680967421   11.0    15.0    0.546980853948    0.401119292895    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            0.55085596541    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.02167796     0.550902617215   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-40         492.0     420.0     30.0             14.02551799    2.33669535381    131.0   74.0    0.077811737479    0.137747805537    
atlas_2004_10894     Cat12            22.0      16.6      1.7              1.59272844     0.780164508122   15.2    9.9     0.0206091214921   0.0316422875434   
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.78661549     0.675289889566   66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark   106.0     86.0      12.0             5.08636896     1.40471892235    46.0    31.0    0.0604919549423   0.0897622557208   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.002709745    0.55085596541    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            0.55085596541    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00224577     0.0126869666031  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.000124765    0.0126817509829  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.055413316    0.0523564192953  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.4200531215   0.241713605177   20.0    19.0    0.0511821404504   0.0538759373163   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.0527078412173  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.167189485    0.0646040539548  11.1    10.3    0.00551701229857  0.00594551810817  
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              0.8859890575   0.0547546906063  8.3     9.1     0.0959266704706   0.087493556583    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            36.396405565   1.91386913375    1520.0  722.0   0.0218800395958   0.0460632412544   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.001555665    0.316246905093   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.02709745     0.550915945576   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-4-1600-22   213.0     204.0     15.0             3.52615746     1.16818949819    47.0    41.0    0.0342622698502   0.03927626056     
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           238.06322842   9.61226899283    3986.0  2400.0  0.055769971719    0.0926246280299   
