analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             2.287166009    0.192146973594   49.0    63.0    0.0402458157614    0.0313023011477   
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.067050613    0.0334931663038  5.4     6.9     0.00224478152995   0.00175678554518  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0229656080268  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             11.98663118    1.47698885336    96.0    116.0   0.0996288485467    0.0824514608663   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.259080673961   5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.259080673961   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.36780328     0.259081632189   76.0    57.0    0                  0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             7.71362992     1.18720055268    67.0    37.0    0.0860689703523    0.155854621989    
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.366394       0.259080673961   27.0    20.0    0                  0                 
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00070464     0.259080673961   2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              5.79989184     0.266850397955   8.4     9.0     0.638363950875     0.59580635415     
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           170.466974678  1.66492173898    5551.0  5525.0  0.0302173487707    0.030359548059    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.997568853179   5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              15.10953235    1.01790504633    14.1    14.4    0.953203409505     0.93334500514     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            0.997568853179   6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.06782875     0.997657398721   2.928   2.927   0                  0                 
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            0.997568853179   33.0    26.0    0                  0                 
atlas_2004_10894     Cat9             71.0     69.0     4.0              1.41077        0.997568853179   21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00271315     0.997568853179   66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             3.56111595     1.57683629553    68.0    54.0    0.0143397709607    0.018057489358    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            0.997568853179   10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.997568853179   13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.001686447    0.0229678163487  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0229656080268  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.023446332    0.0947647546221  7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.2325775625   0.130117090944   20.0    19.0    0.000959276667595  0.00100976491326  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0954505885746  6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.008047724    0.095461178949   6.3     6.1     0                  0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              2.170549044    0.0983576671085  8.3     9.1     0.242077406017     0.220795875818    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            208.87633472   6.17987194232    1520.0  722.0   0.130750884694     0.275265020408    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.001557625    0.57270529903    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.00271315     0.997568853179   21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            55.13381545    6.22949175163    317.0   216.0   0.141695422641     0.207951152673    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            403.4072447    16.8550989761    1199.0  833.0   0.313398567456     0.451098298174    
