analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.89551658    0.0865695686852  49.0    63.0    0.0153784181093    0.0119609918628    
atlas_1605_09318     SR-Gbb-C          5.0      7.6      1.7              0.04361705    0.0195064184283  5.4     6.9     0.00215305995881   0.00168500344603   
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0001871025  0.0119532145705  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             5.95966912    0.750475840507   96.0    116.0   0.0492592577247    0.0407662822549    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           0.134843407864   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.134843407864   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.286331085   0.164909987371   76.0    57.0    0.000208930338317  0.000278573784422  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             4.889699315   0.68087304679    86.0    67.0    0.0438728781194    0.0563144405711    
atlas_1712_08119     SRI-MLL-20        34.0     29.0     6.0              3.72149901    0.595248806036   20.0    17.0    0.137264548405     0.161487704006     
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           0.134843407864   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              3.562250855   0.143835308184   8.4     9.0     0.39599535114      0.369595661064     
atlas_1807_07447     MET2j             6771.0   6770.0   1800.0           46.264088925  0.625434331202   2712.0  2723.0  0.0166808173384    0.0166134324722    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.51920294841    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160   29.0     36.0     5.0              7.70465196    0.538922033366   11.0    15.0    0.620074529571     0.454721321685     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0           0.51920294841    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.06230907    0.519358415112   2.928   2.927   0                  0                  
atlas_1911_12606     E-inc-20          383.0    301.0    23.0             15.06990454   2.35101645007    130.0   63.0    0.0862633658607    0.178003770824     
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.01083636    0.519224151156   21.0    19.0    0                  0                  
atlas_2004_14060     SRD1              4.0      3.1      1.0              1.102957      0.63680355349    6.4     5.7     0.00915612066816   0.0102805565397    
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             5.5260109     1.41985270218    68.0    54.0    0.0470213598299    0.0592120827487    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.00541818    0.519210016088   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.51920294841    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.00199576    0.0119579320961  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             6.23675e-05   0.0119528891552  115.0   101.0   0                  0                  
atlas_conf_2016_050  SR1               37.0     24.0     3.0              0.120221294   0.0699061479552  26.0    12.9    0.000214431205903  0.000432186926627  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.74988165    0.170124043951   20.0    19.0    0.023543910896     0.0247830641011    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0496791391626  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.09904634    0.0498445484473  11.1    10.3    0.0015586739231    0.00167973597538   
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.10321904    0.0524778105391  8.3     9.1     0.122548847074     0.111775322057     
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            61.087774015  2.40854748718    1520.0  722.0   0.0375906290369    0.0791381663934    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.298074977616   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.01083636    0.519224151156   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             13.98002908   2.26262705526    116.0   119.0   0.0885286268049    0.0862968126838    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            141.46367285  7.19637794389    1199.0  833.0   0.10814146207      0.155656198106     
