analysis             sr               o       b       db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0   295.0   34.0             2.2190826365  0.150478448661   49.0    63.0    0.0402509791979   0.0313063171539   
atlas_1605_09318     SR-Gbb-C         5.0     7.6     1.7              0.042430094   0.0211508634372  5.4     6.9     0.00143382925242  0.00112212724102  
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.0145134108246  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0   765.0   59.0             14.42560557   1.28927813598    96.0    116.0   0.128241556531    0.106130943336    
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.163729794952   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.163729794952   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0           18.0    18.7    2.7              0.349261895   0.200430189096   10.4    10.8    0.00197657546948  0.00190336897061  
atlas_1712_02332     2j-2100          180.0   143.0   13.0             5.572633695   0.802009720952   67.0    37.0    0.063542354517    0.115063182504    
atlas_1712_08119     SRI-MLL-60       52.0    43.0    7.0              0.0           0.163729794952   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.0           0.163729794952   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0     9.8     2.9              4.657218115   0.173458342675   8.4     9.0     0.520565051549    0.485860714779    
atlas_1807_07447     MET2j            6771.0  6770.0  1800.0           60.093907783  0.785689363331   2712.0  2723.0  0.0216833986826   0.0215958050779   
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.446434      0.630427575053   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0    37.3    3.0              13.409399815  0.657718344081   14.1    14.4    0.874520690121    0.856301509077    
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.630427575053   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.03254982    0.630491761017   2.928   2.927   0                 0                 
atlas_1911_12606     VBF-inc-40       82.0    74.0    10.0             0.0           0.630427575053   33.0    26.0    0                 0                 
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.0           0.630427575053   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.00542497    0.63043341041    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300    84.0    73.0    12.0             0.01627491    0.630456751301   38.0    29.0    0                 0                 
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.630427575053   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.630427575053   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.001373801   0.014516231674   20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0           0.0145134108246  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.0213798455  0.0599133798527  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass   3.0     3.8     1.2              0.0           0.0671246797245  5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.0603214642924  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0     4.7     2.0              0.00674804    0.0603354214344  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0     10.2    3.3              1.96757274    0.0644148703507  8.3     9.1     0.224329199111    0.204607950838    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            86.951016275  3.1685275909     692.0   350.0   0.118142530384    0.233584660074    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0           0.361928926756   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0           0.630427575053   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            43.801421825  4.41232395651    317.0   216.0   0.115347667307    0.169283382113    
atlas_conf_2020_048  EM08             1663.0  1630.0  40.0             49.150568855  4.67524091919    135.0   109.0   0.3072827685      0.380579575665    
