analysis             sr                o        b       db               s             ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0   34.0             1.752168671   0.121363088526   49.0    63.0    0.0316965960371   0.0246529080289   
atlas_1605_09318     SR-Gbb-A          0.0      1.3     0.4              0.0           0.0123571781172  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0    2.8              0.0           0.0119827180227  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0   59.0             11.37161556   1.03917865155    96.0    116.0   0.100701693453    0.0833393325126   
atlas_1706_03731     Rpc2L0bH          3.0      2.4     1.0              0.0           0.135180001865   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7     1.4              0.0           0.135180001865   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0   26.0             0.00140748    0.135181833669   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100           180.0    143.0   13.0             5.27652078    0.709418000472   67.0    37.0    0.0613891829735   0.111164196195    
atlas_1712_08119     SRI-MLL-60        52.0     43.0    7.0              0.0           0.135180001865   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0      0.48    0.27613402543    0.0961455     0.135180001865   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8     2.9              3.95572254    0.145110088673   8.4     9.0     0.442588332688    0.413082443842    
atlas_1807_07447     MET1g1j           106.0    103.0   21.0             0.9409145615  0.0891732717106  44.0    40.0    0.0180606908158   0.0198667598974   
atlas_1908_03122     SRC26             4.0      3.7     0.9              0.0           0.520498963185   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3    3.0              11.4755795    0.549551822828   14.1    14.4    0.749951383728    0.734327396567    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5     1.5              0.0           0.520498963185   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065   0.0222036033112  0.054194      0.5206329587     2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40          472.0    443.0   31.0             0.9934315     0.522111671238   96.0    73.0    0.00142883707468  0.00187901861876  
atlas_2004_10894     Cat9              71.0     69.0    4.0              0.0           0.520498963185   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0   24.0             0.0054194     0.52050601644    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0   22.0             1.5003374     0.73398009094    68.0    54.0    0.00436191251263  0.0054927787196   
atlas_2103_11684     SR0-ZZtight       17.0     18.4    3.4              0.0           0.520498963185   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7    1.9              0.0           0.520498963185   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3    2.3              0.001497156   0.0119864521272  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0   56.0             0.0           0.0119827180227  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4     1.8              0.025989724   0.0494956476806  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0    7.0              0.208397788   0.0875434855629  20.0    19.0    0.00324132358384  0.00341191956194  
atlas_conf_2016_066  SRL               3.0      0.78    0.18             0.0002592735  0.0498031365855  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7     2.0              0.0080374785  0.0498233790121  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF             9.0      10.2    3.3              1.811964072   0.0542300235934  8.3     9.1     0.207593594374    0.189343608056    
atlas_conf_2017_060  IM6               5097.0   4680.0  160.0            76.91343966   2.70768528326    692.0   350.0   0.104729531496    0.20706524513     
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64    0.34             0.0           0.298819102342   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0    5.0              0.0           0.520498963185   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0   30.0             16.6245343    2.46862306921    99.0    76.0    0.127030226934    0.165473585085    
atlas_conf_2020_048  EM06              10203.0  9930.0  170.0            143.4942454   7.2595572961     594.0   381.0   0.221529581539    0.345376827912    
