analysis             sr               o        b       db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             0.882750638   0.0660960246071   49.0    63.0    0.0158031256662   0.0122913199626   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0           0.00728786941121  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0           0.00706700649198  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0   59.0             5.73226825    0.56616765904     96.0    116.0   0.0500390967622   0.041411666286    
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0           0.0797247977769   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.0797247977769   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.05762925    0.0797247977769   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0   13.0             3.23117125    0.425685682693    67.0    37.0    0.0378066676177   0.0684607224428   
atlas_1712_08119     SRI-MLL-60       52.0     43.0    7.0              0.00070325    0.0797247977769   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.0797247977769   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8     2.9              2.500757      0.0900788886491   8.4     9.0     0.280122336026    0.261447513624    
atlas_1807_07447     MET2j            6771.0   6770.0  1800.0           33.210266215  0.407260017811    2712.0  2723.0  0.0119993952012   0.0119509216988   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0           0.306973493666    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0   12.0             17.4544788    0.376149745882    36.0    33.0    0.467710922688    0.510230097477    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.306973493666    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0460326     0.30716451733     2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40         472.0    443.0   31.0             0.8204634     0.310559244633    96.0    73.0    0.00324110665419  0.00426227724386  
atlas_2004_10894     Cat12            22.0     16.6    1.7              0.6695233     0.377243933351    15.2    9.9     0.00334495061218  0.00513568174799  
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0           0.306973493666    66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark   106.0    86.0    12.0             0.6722311     0.377253651315    46.0    31.0    0.0011638067792   0.00172693909171  
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0           0.306973493666    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.306973493666    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.002368844   0.00707717201491  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0           0.00706700649198  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.0182571885  0.029230723604    7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.1966986125  0.0653934267572   20.0    19.0    0.00447266963091  0.00470807329569  
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.0293722915554   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.1155410975  0.0297853361702   11.1    10.3    0.00600839154782  0.006475062736    
atlas_conf_2016_096  2LBSF            19.0     20.7    5.0              2.1759171155  0.0430126136235   11.9    13.0    0.176922389005    0.161952033012    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            52.7065425    1.72009593316     692.0   350.0   0.0720889959098   0.142530243342    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.17623353653     2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.306973493666    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            28.7989742    2.49644371451     317.0   216.0   0.077933143559    0.114374104205    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            92.7840988    4.47984756818     594.0   381.0   0.143833583818    0.224244485008    
