analysis             sr               o       b       db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0   295.0   34.0             0.57793316    0.0407896138543   49.0    63.0    0.0104293508832   0.00811171735363  
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.0           0.0042415473345   2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.00411301753144  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0  2600.0  160.0            6.78083334    0.469615691527    194.0   284.0   0.0309828020922   0.0211643084715   
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.0463999651147   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.0463999651147   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0   179.0   26.0             0.067722255   0.0572355398493   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0   143.0   13.0             2.056065      0.259416388615    67.0    37.0    0.024337643622    0.0440708681803   
atlas_1712_08119     SRI-MLL-60       52.0    43.0    7.0              0.00140271    0.0464052654499   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.0           0.0463999651147   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0   133.0   22.0             10.438266465  0.097331368224    61.0    48.0    0.168502344608    0.214138396273    
atlas_1807_07447     MET2e1j          15.0    16.5    3.4              0.120349724   0.00493341735875  9.9     10.7    0.0113392848012   0.0104914878067   
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0           0.178658946251    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0   144.0   12.0             16.5001161    0.276532918204    36.0    33.0    0.445738947615    0.486260670126    
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.178658946251    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.03240612    0.178883312168    2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40         472.0   443.0   31.0             0.95057952    0.18568461385     96.0    73.0    0.00672975784672  0.00885009251076  
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.00810153    0.178699761007    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.129029      0.178658946251    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0   261.0   22.0             0.93805919    0.335443324774    68.0    54.0    0.00570488437309  0.00718392846982  
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.178658946251    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.178658946251    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.00236246    0.00413036587281  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0           0.00411301753144  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.020003217   0.0171147649094   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.0781627005  0.0302549552755   20.0    19.0    0.00142722869241  0.00150234599201  
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.0170947365672   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.110592632   0.0179092077825   11.1    10.3    0.00731725506637  0.00788558555697  
atlas_conf_2016_096  2LBSF            19.0    20.7    5.0              2.016077496   0.0332923442241   11.9    13.0    0.164830088359    0.150882927036    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            34.58652441   1.06243190756     692.0   350.0   0.0474626243954   0.0938403888046   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0           0.102568136675    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0           0.178658946251    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            16.84707178   1.45468224034     317.0   216.0   0.0456195359806   0.0669508930826   
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             32.67059745   2.02697543972     310.0   197.0   0.0946656700931   0.148966282888    
