analysis             sr               o       b       db               s             ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0   295.0   34.0             0.608034097   0.0401649027897   49.0    63.0    0.0110645644168    0.0086057723242   
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.002824245   0.00391796652085  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.00379923948365  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0   765.0   59.0             4.067511675   0.349454050271    96.0    116.0   0.0364000732558    0.0301241985565   
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.0428601665711   5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.0428601665711   7.22    6.137   0                  0                 
atlas_1709_04183     SRA-T0           18.0    18.7    2.7              0.095002225   0.0528535778822   10.4    10.8    0.000800226660887  0.00077058863641  
atlas_1712_02332     2j-2100          180.0   143.0   13.0             1.82764067    0.234737974709    67.0    37.0    0.0215323939027    0.0389910916616   
atlas_1712_08119     SRI-MLL-60       52.0    43.0    7.0              0.000702655   0.0428601665711   27.0    20.0    0                  0                 
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.0           0.0428601665711   2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0   133.0   22.0             10.783646285  0.0970241368673   61.0    48.0    0.174172568861     0.221344306261    
atlas_1807_07447     MET2e1j          15.0    16.5    3.4              0.1305794     0.00546655513992  9.9     10.7    0.0122842676334    0.0113658177169   
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0           0.165029477818    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0   144.0   12.0             16.87973928   0.26999237198     36.0    33.0    0.456581994165     0.49808944818     
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.165029477818    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.03787728    0.165317532189    2.928   2.927   0                  0                 
atlas_1911_12606     S-inc-40         472.0   443.0   31.0             0.88470504    0.172107512591    96.0    73.0    0.00627550749323   0.00825272218288  
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.00541104    0.165051653695    21.0    19.0    0                  0                 
atlas_2004_14060     SRA-T0           11.0    17.3    1.7              0.36038706    0.203472280142    6.0     9.6     0.00444875342787   0.00278047089242  
atlas_2101_01629     2J_bveto_700     280.0   261.0   22.0             1.45587588    0.405683770447    68.0    54.0    0.0116258014186    0.0146398980827   
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.165029477818    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.165029477818    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.002117707   0.00381605078713  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0           0.00379923948365  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.042634206   0.0194502212613   7.2     7.3     0.00149108932381   0.00147066344266  
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.1377475165  0.0393353755072   20.0    19.0    0.00366187503341   0.00385460529832  
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.0157905857971   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.1167519485  0.0167182406331   11.1    10.3    0.00804811115872   0.00867320717105  
atlas_conf_2016_096  2LBSF            19.0    20.7    5.0              2.0510468565  0.0278799322484   11.9    13.0    0.16851460232      0.154255674432    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            30.686757045  0.961759935883    692.0   350.0   0.0420657091765    0.083169916429    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0           0.0947435896446   2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.01082208    0.165095996512    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            16.06379526   1.36400681255     317.0   216.0   0.0436177416007    0.0640130744788   
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             29.76294048   1.85963425929     310.0   197.0   0.0861714203057    0.135599696928    
