analysis             sr                o         b         db               s             ds              s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             1.3148018575  0.308380312853  49.0     63.0     0.0165113907025    0.0128421927686    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.106005272603  2.9      3.9      0                  0                  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.00025081    0.102793295252  6.0      8.7      0                  0                  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            14.007589405  3.38070667785   194.0    284.0    0.043624899244     0.02980010723      
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00424419    1.15963571368   5.6      5.1      0                  0                  
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           1.15963463497   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00424419    1.15963571368   76.0     57.0     0                  0                  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             4.12757487    1.83389251495   86.0     67.0     0.0130231528544    0.0167162857534    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             18.07645298   3.84607564509   59.0     66.0     0.199472693594     0.178316498819     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0           1.15963463497   2.97     2.9      0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              3.86787182    1.1608135007    8.4      9.0      0.23382591415      0.218237519873     
atlas_1807_07447     MET2e1j           15.0      16.5      3.4              1.7949831505  0.342036838529  9.9      10.7     0.124650781345     0.115331096758     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           4.4650709958    5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-1J-INC100   120.0     124.0     12.0             9.51370945    4.46797085868   29.0     32.0     0.0753874910955    0.0683199138053    
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.01361825    4.4650743186    6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.10077505    4.4651009009    2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             82.6186335    16.1014089658   96.0     73.0     0.585545029126     0.770031819125     
atlas_2004_10894     Cat12             22.0      16.6      1.7              9.55379085    5.47030302352   15.2     9.9      0.0383219665417    0.0588377668115    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0108946     4.4650734879    66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             3.1820342     4.46507681069   38.0     29.0     0                  0                  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0054473     4.4650718265    10.4     11.1     0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           4.4650709958    13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0039502575  0.102794423551  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.2278443875  0.125937284935  3717.0   3549.0   5.73237562729e-06  6.00373068657e-06  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.027934038   0.424029177302  7.2      7.3      0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.017818      0.582449583646  20.0     19.0     0.00313003414102   0.00329477278002   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.427233124472  6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              7.90460014    1.53974725149   11.1     10.3     0.48463195023      0.522273266753     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             37.742879804  3.32311404904   17.7     24.6     1.82446173806      1.31272247006      
atlas_conf_2017_060  IM4               41523.0   39900.0   1000.0           102.20787537  9.13168222104   3268.0   2001.0   0.0266927529154    0.0435941611832    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0031273     2.56340205216   2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.02451285    4.46507764139   21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             18.9822938    7.73615467127   141.0    120.0    0.0446453910576    0.0524583344927    
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1312.2803739  64.2427388462   20140.0  13460.0  0.0599266277156    0.089667331515     
