analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             5.332843474    1.02366590847   49.0     63.0     0.0745720690635   0.0580004981605   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.287422552686  2.9      3.9      0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000125986    0.278712753141  6.0      8.7      0                 0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            71.28362748    12.5753105166   194.0    284.0    0.261134630066    0.178380698003    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00071064     3.14423129318   5.6      5.1      0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            3.14423129318   7.22     6.137    0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00213192     3.1442314538    76.0     57.0     0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             6.6902024      3.84823962624   86.0     67.0     0.00440801642982  0.00565805093977  
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              86.7881196     13.8955397891   20.0     17.0     3.19997171729     3.76467260858     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00142128     3.14423137349   2.97     2.9      0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              6.86193984     3.14500656421   8.4      9.0      0.202872508891    0.189347674965    
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             6.13733986     1.1012343292    18.0     20.0     0.240628642229    0.216565778006    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            12.1065779455   5.8      5.4      0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.719635065    12.1066589597   17.0     19.0     0                 0                 
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00547251     12.1065782547   6.5      5.9      0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.068406375    12.1065853666   2.928    2.927    0                 0                 
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             556.540016335  69.0246704476   130.0    63.0     3.41030428308     7.03713582224     
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.002736255    12.1065779455   21.0     19.0     0                 0                 
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0            12.1065779455   66.0     57.0     0                 0                 
atlas_2101_01629     2J_disc_squark   106.0     86.0      12.0             25.724126295   14.8376434284   46.0     31.0     0.0302258928782   0.044851324916    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.019153785    12.1065798008   10.4     11.1     0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            12.1065779455   13.0     11.5     0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00314965     0.278713094836  20.0     10.2     0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.000125986    0.278712753141  115.0    101.0    0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.022346756    1.14969340945   7.2      7.3      0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.4791519875   2.23269693111   20.0     19.0     0.0908764510239   0.0956594221305   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.15839895166   6.34     3.17     0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.0075926205   1.15839978009   6.3      6.1      0                 0                 
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              1.2742511715   1.15854291249   8.3      9.1      0                 0                 
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            253.67331352   23.7375710081   1355.0   1235.0   0.15848243326     0.173881536086    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.001570885    6.95040433834   2.87     2.94     0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.01641753     12.1065794915   21.0     18.0     0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            51.418796415   20.954817804    317.0    216.0    0.0537946221339   0.078948588965    
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           5310.32406616  213.1328333     20140.0  13460.0  0.246315105241    0.368557668614    
