analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.693601475    0.113309231855   49.0    63.0    0.0103627415257    0.00805991007553   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.0271626787307  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0008128575   0.0263404578144  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            8.03238174     1.29548706133    194.0   284.0   0.0304524894815    0.020802052674     
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              0.92640297     0.41989346142    8.0     9.0     0.0297222116589    0.0264197436968    
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            0.297143206931   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.63839568     0.363699633532   76.0    57.0    0.000551687907984  0.000735583877312  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             6.74371248     1.18814971806    86.0    67.0    0.0557575225857    0.0715693573489    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             30.94728393    2.54744049327    59.0    66.0    0.45372002578      0.405598204864     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            0.297143206931   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              4.45545501     0.939741724062   6.8     5.1     0.428570379785     0.571427173047     
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              1.401393681    0.157419787499   6.1     7.3     0.18741397205      0.156606195822     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.002716035    1.14412530883    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              6.700458345    1.15204775284    14.1    14.4    0.341212768109     0.334104168773     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.01629621     1.14414142768    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.07061691     1.14420590081    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             85.488587685   8.29230569934    96.0    73.0    0.748845899355     0.984783648467     
atlas_2004_10894     Cat12            22.0      16.6      1.7              5.69181535     2.14105941628    15.2    9.9     0.143452493901     0.220250293667     
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.831909315    1.14415109888    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             17.86274691    3.79332687913    68.0    54.0    0.171201335709     0.215586867189     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.040740525    1.14417044104    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            1.14412530883    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0225283825   0.0263441682785  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.173965355    0.0558661870332  3717.0  3549.0  2.21535669264e-05  2.32022564851e-05  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.176130636    0.133175701993   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.818851322    0.39463859249    20.0    19.0    0.0585822015158    0.0616654752798    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.10947372043    6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              8.89923652     0.826711897002   11.1    10.3    0.679588199002     0.732371748439     
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             17.89501912    1.13507679624    17.7    24.6    0.905847071987     0.65176801521      
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            18.57170697    1.97052072209    582.0   410.0   0.026357479357     0.0374147633799    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            0.656843028332   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.03259242     1.14416077       21.0    18.0    0                  0                  
atlas_conf_2019_040  SR-5j-1600       320.0     319.0     19.0             6.47911621     2.28496344913    52.0    51.0    0.0525341567966    0.0535642383024    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           173.831895135  11.8345483874    3986.0  2400.0  0.0387414038584    0.0643430149082    
