analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             3.145346347   0.337944239997   49.0    63.0    0.0528799549674  0.0411288538636  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.0531448417927  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0001877505  0.051534445539   6.0     8.7     0                0                
atlas_1704_03848     SRI2              729.0    765.0    59.0             16.50662078   2.59999925028    96.0    116.0   0.127527312599   0.10553984491    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.00282408    0.581373601308   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.58137231522    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0           0.58137231522    76.0    57.0    0                0                
atlas_1712_02332     2j-2100           180.0    143.0    13.0             5.76778636    1.53811222178    67.0    37.0    0.0484370494966  0.0877103328723  
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              21.7947787    2.99277415742    11.4    9.3     1.48128325279    1.81576656794    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.00141204    0.581372743916   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              6.2023857     0.585125865769   8.4     9.0     0.624140390493   0.582531031126   
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             3.812422609   0.372787026851   44.0    40.0    0.0727511792037  0.0800262971241  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           2.23852496107    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160   29.0     36.0     5.0              11.6622363    2.24559347407    11.0    15.0    0.725405727503   0.531964200169   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.00271847    2.23852496107    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.06524328    2.23856292589    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-10      9.0      11.0     2.0              37.99515541   7.75406538567    7.0     8.0     3.61121259679    3.15981102219    
atlas_2004_10894     Cat12             22.0     16.6     1.7              6.39986175    3.16597919679    15.2    9.9     0.0794510438995  0.121985441139   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0           2.23852496107    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             23.86061921   6.13062939736    68.0    54.0    0.203035102917   0.255673833302   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.03262164    2.23854311824    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           2.23852496107    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0031917585  0.0515362695424  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.0515343695375  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.019878089   0.212591350805   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              2.372332734   0.630631752087   20.0    19.0    0.0669048330289  0.0704261400304  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.214189521207   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0044219125  0.214192048244   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.46599405    0.215077676      8.3     9.1     0.134128513417   0.122336995754   
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            81.53485296   5.78450368199    582.0   410.0   0.123794273061   0.175727480296   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           1.28513924847    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.03262164    2.23854311824    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             15.8555347    5.00537118075    99.0    76.0    0.0772396561977  0.10061481531    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            298.02192908  21.7029957409    1199.0  833.0   0.218873241088   0.315040835612   
