analysis             sr                o         b         db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             3.6933351225   0.369594398954   49.0    63.0    0.0630040879228  0.0490031794955  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0383968      0.0541957748457  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.0525534443921  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            42.90583788    4.2319962568     194.0   284.0   0.185388474324   0.1266386057     
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0            0.592868508979   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            0.592868508979   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00070507     0.592868508979   76.0    57.0    0                0                
atlas_1712_02332     2j-1200           582.0     517.0     31.0             7.55561112     1.77822120933    128.0   77.0    0.0362447526304  0.0602510173597  
atlas_1712_08119     SRI-MLL-10        12.0      8.9       2.5              10.48648335    2.09659611747    11.4    9.3     0.618251378714   0.757856528747   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00070507     0.592868508979   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              6.89981502     0.596956802785   8.4     9.0     0.704857840885   0.657867318159   
atlas_1807_07447     MET1g1j           106.0     103.0     21.0             2.57951863     0.309603022136   44.0    40.0    0.0470856744022  0.0517942418424  
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            2.28279059558    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160   37.0      37.3      3.0              13.27004016    2.29066612658    14.1    14.4    0.674705511519   0.660649146695   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0            2.28279059558    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.0542964      2.2828212672     2.928   2.927   0                0                
atlas_1911_12606     E-inc-10          244.0     200.0     19.0             79.10129892    11.2978819313    83.0    49.0    0.729792440394   1.23617903169    
atlas_2004_10894     Cat12             22.0      16.6      1.7              4.90452568     2.79404795406    15.2    9.9     0.0212030944302  0.0325542459939  
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0            2.28279059558    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             9.75377086     3.95649700449    68.0    54.0    0.0480164084211  0.0604651069006  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00542964     2.28279220989    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            2.28279059558    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.001749986    0.0525544478092  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.0525534443921  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.020109219    0.216794691003   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.24358986     0.619777833802   20.0    19.0    0.0613577106283  0.0645870638192  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.218425146857   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.0054550335   0.218428236089   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              1.764313692    0.219471596345   8.3     9.1     0.16920244265    0.154327502637   
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            287.89714917   10.9803924587    1355.0  1235.0  0.19918029929    0.218533850638   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            1.31055159238    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.00542964     2.28279220989    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0    2589.0    100.0            48.44429748    8.83776096551    186.0   213.0   0.182528868261   0.159391406087   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           1081.00305584  41.7508645246    3986.0  2400.0  0.254021986457   0.421888182508   
