analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.6138797235  0.0860845035164  49.0    63.0    0.00964696199455   0.00750319266243   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0177522821422  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0004371815  0.0172149914416  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            6.78821548    0.961412527007   194.0   284.0   0.0268633965758    0.0183503483652    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00281824    0.194202820134   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.194198985924   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.4155448     0.237886254285   76.0    57.0    0.000334359775945  0.000445813034594  
atlas_1712_02332     5j-1700          45.0      39.0      5.0              1.23861824    0.411935791161   21.0    17.0    0.0268115972617    0.0331202083821    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             23.65924748   1.80089302514    59.0    66.0    0.350945473199     0.313723983618     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.137385      0.194198985924   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              3.12190536    0.199780678168   8.4     9.0     0.332650600929     0.3104738942       
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              0.9558359355  0.104346287303   6.1     7.3     0.128640659725     0.107494249907     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.52848       0.747749216054   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              6.2938352     0.759075638037   14.1    14.4    0.358081642101     0.35062160789      
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00813858    0.747759058339   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.07053436    0.747872235308   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             63.9224405    5.79206702758    96.0    73.0    0.566910943487     0.745526720202     
atlas_2004_10894     Cat12            22.0      16.6      1.7              2.6710586     1.18243269457    15.2    9.9     0.0481492750593    0.073926159687     
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.52848       0.747749216054   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             11.69405578   2.47991265911    68.0    54.0    0.11216175028      0.141240722575     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.03526718    0.747808267821   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.747749216054   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.003372543   0.0172203152372  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.128116609   0.0385047151194  3717.0  3549.0  1.74788475126e-05  1.83062485783e-05  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.119276552   0.0870094262215  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.867297583   0.323399758321   20.0    19.0    0.0668460989677    0.0703643147028    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0715469576009  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              3.501692818   0.41723288828    11.1    10.3    0.253822601912     0.273536978759     
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             7.246960313   0.552159919143   17.7    24.6    0.358272205966     0.257781221366     
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            14.51371804   1.40720407287    582.0   410.0   0.0209723425438    0.0297704960012    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00311491    0.429284924242   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.04340576    0.747823030035   21.0    18.0    0                  0                  
atlas_conf_2019_040  SR-5j-1600       320.0     319.0     19.0             5.30854288    1.67186339743    52.0    51.0    0.0493593636194    0.0503271942786    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           148.77437648  8.84763271019    3986.0  2400.0  0.0336839585638    0.0559434411814    
