analysis             sr                o        b       db               s             ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1               264.0    295.0   34.0             0.6454717105  0.103526341843   49.0    63.0    0.00970792877301  0.0075506112679  
atlas_1605_09318     SR-Gbb-A          0.0      1.3     0.4              0.0           0.0244869971733  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j           7.0      11.0    2.8              0.0005621085  0.0237456476564  6.0     8.7     0                 0                
atlas_1704_03848     SRI2              729.0    765.0   59.0             3.8313319     0.847278152679   96.0    116.0   0.0254353721834   0.0210499631863  
atlas_1706_03731     Rpc2L0bH          3.0      2.4     1.0              0.00563672    0.267879477239   5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass      5.0      3.7     1.4              0.0           0.267872990793   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0            206.0    179.0   26.0             0.38023668    0.267873917438   76.0    57.0    0                 0                
atlas_1712_02332     3j-1300           405.0    378.0   28.0             4.75664147    0.946688588127   86.0    67.0    0.0372566533194   0.0478219729175  
atlas_1712_08119     SRI-MT2-999       277.0    289.0   33.0             56.32391514   3.2643343784     59.0    66.0    0.863905199312    0.772278890294   
atlas_1802_03158     SRaaSH            0.0      0.48    0.27613402543    0.00070459    0.267872990793   2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8     2.9              3.67725521    0.272665362666   8.4     9.0     0.384533811337    0.358898223914   
atlas_1807_07447     MET2m1j           17.0     16.0    5.0              1.466380409   0.14782550016    13.0    13.0    0.0941497375952   0.0941497375952  
atlas_1908_03122     SRC26             4.0      3.7     0.9              0.0           1.03141999931    5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-1J-INC160   29.0     36.0    5.0              7.528450125   1.04127047459    11.0    15.0    0.529160595152    0.388051103111   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5     1.5              0.018990685   1.03144140683    6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass        0.05     0.065   0.0222036033112  0.062397965   1.03149849138    2.928   2.927   0                 0                
atlas_1911_12606     S-inc-40          472.0    443.0   31.0             97.522249405  8.41142151428    96.0    73.0    0.8721616471      1.14695230304    
atlas_2004_10894     Cat10             29.0     26.3    2.2              2.91427       1.45713985719    14.7    12.4    0.0356843968844   0.0423032769517  
atlas_2004_14060     SRB-T0            292.0    276.0   24.0             1.46406591    1.03142356726    66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700      280.0    261.0   22.0             15.3684741    3.34186481253    68.0    54.0    0.145409055992    0.183107700138   
atlas_2103_11684     SR0-ZZtight       17.0     18.4    3.4              0.040694325   1.0314699495     10.4    11.1    0                 0                
atlas_2106_09609     SR9               25.0     22.7    1.9              0.0           1.03141999931    13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ               21.0     10.3    2.3              0.0036849335  0.0237497541743  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0   56.0             0.000124913   0.0237450726872  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv              7.0      7.4     1.8              0.019064879   0.0979730030672  7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J              47.0     46.0    7.0              2.578606244   0.446067994671   20.0    19.0    0.092352736637    0.0972134069863  
atlas_conf_2016_066  SRL               3.0      0.78    0.18             0.0           0.0986900307446  6.34    3.17    0                 0                
atlas_conf_2016_076  SR_w_sf           13.0     12.0    4.0              2.570342625   0.418674995685   11.1    10.3    0.169704110998    0.182885012823   
atlas_conf_2016_096  2LASF             56.0     70.0    12.0             6.362089505   0.592431265122   17.7    24.6    0.304548148599    0.219126106919   
atlas_conf_2017_060  EM5               8583.0   8360.0  190.0            31.16750664   2.42576067253    582.0   410.0   0.046716940098    0.0663152661879  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64    0.34             0.00155751    0.592140184468   2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low            51.0     46.0    5.0              0.046120235   1.03147708504    21.0    18.0    0                 0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0  100.0            13.14043364   3.09212969577    186.0   213.0   0.0433835534352   0.0378842297603  
atlas_conf_2020_048  EM06              10203.0  9930.0  170.0            49.72398184   6.01416896594    594.0   381.0   0.0671056308684   0.104621377259   
