analysis             sr               o        b        db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             1.9463719375  0.186999040066   49.0    63.0    0.0334631328937  0.0260268811396  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.0263678136484  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              6.24875e-05   0.0255688157794  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            23.16504095   2.16793019769    194.0   284.0   0.101080594978   0.0690480120626  
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.000704935   0.288447813021   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.288447813021   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.407653      0.35319595544    76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0    378.0    28.0             5.52605118    1.05969722448    86.0    67.0    0.0440482294401  0.0565395183857  
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              10.204256785  1.4420054111     11.4    9.3     0.687663851824   0.842942786106   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.288447813021   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              5.34622704    0.294907420154   8.4     9.0     0.578878437018   0.540286541216   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             2.547529922   0.214596960545   44.0    40.0    0.0498997933342  0.0548897726677  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           1.11064204399    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              10.6454846    1.12357172504    14.1    14.4    0.62431396957    0.611307428538   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0027143     1.11064204399    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0597146     1.11071169337    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-10     9.0      11.0     2.0              17.2818586    3.68335006859    7.0     8.0     1.60588064107    1.40514556094    
atlas_2004_10894     Cat12            22.0     16.6     1.7              7.9093503     2.48316278447    15.2    9.9     0.252431798255   0.387572053886   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0           1.11064204399    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             11.0599032    2.9385039553     68.0    54.0    0.0917758340191  0.115569568765   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0190001     1.11066194426    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           1.11064204399    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.001874625   0.0255710300204  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             6.24875e-05   0.0255688157794  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.021136402   0.105496834793   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.6845651845  0.374035322364   20.0    19.0    0.0535573627912  0.0563761713591  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.106270358602   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.0070122645  0.106278609541   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              1.458551016   0.108037618705   8.3     9.1     0.154381845943   0.14080981553    
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            67.233748975  3.6995399194     582.0   410.0   0.105097085064   0.14918659392    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.637621444031   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0162858     1.11065862757    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            29.167727     4.77732755767    317.0   216.0   0.067296245443   0.0987634713214  
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            221.8936894   13.1880857885    1199.0  833.0   0.167026879655   0.240414440224   
