analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             1.351210879    0.123054963209   49.0    63.0    0.0234571579457    0.01824445618      
atlas_1605_09318     SR-Gbb-C          5.0      7.6      1.7              0.0348937      0.0201459904992  5.4     6.9     0.000343384366901  0.000268735591488  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              6.24245e-05    0.0159520627171  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             7.676885275    0.985732510362   96.0    116.0   0.0631279578959    0.0522438272242    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.000704225    0.179958998664   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.179958998664   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.2573154      0.179963132332   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             5.4912773      0.834413271544   86.0    67.0    0.0479399945892    0.0615349184279    
atlas_1712_08119     SRI-MLL-20        34.0     29.0     6.0              8.274817625    1.02592930645    20.0    17.0    0.329614678121     0.38778197426      
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            0.179958998664   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              3.9295755      0.187488801196   8.4     9.0     0.431201650719     0.402454874004     
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             2.1242382935   0.154732346327   44.0    40.0    0.0425108464892    0.0467619311381    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            0.6929165863     5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160   29.0     36.0     5.0              8.191637865    0.708758210896   11.0    15.0    0.639024945375     0.468618293275     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            0.6929165863     6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.04880817     0.693006774506   2.928   2.927   0                  0                  
atlas_1911_12606     E-inc-20          383.0    301.0    23.0             43.62771902    4.62223607195    130.0   63.0    0.277286552785     0.572178600984     
atlas_2004_10894     Cat12             22.0     16.6     1.7              6.436439125    1.76639777341    15.2    9.9     0.232864919514     0.357529977436     
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.982881565    0.848714735818   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             14.78588308    2.68372250782    68.0    54.0    0.152714384812     0.192307003096     
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.013557825    0.692937808111   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.6929165863     13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.002621829    0.0159570697334  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.0159520627171  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.019570114    0.0658399427706  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.581670383    0.285723376092   20.0    19.0    0.0556542023104    0.0585833708531    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.066300680018   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.007524108    0.0663148927495  6.3     6.1     0                  0                  
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.132767432    0.0684807391262  8.3     9.1     0.122946869859     0.112138353828     
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            43.395280625   2.34639363399    582.0   410.0   0.067950506985     0.0964565733299    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            0.397803655859   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.04338504     0.692996164738   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             11.800012975   2.40038817195    116.0   119.0   0.0677877273534    0.0660787930504    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            153.349887505  8.65463159894    1199.0  833.0   0.116060293313     0.167054371768     
