analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             0.777858472    0.0831546857005  49.0    63.0    0.0130915262745   0.0101822982135   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              6.4334e-05     0.0130734738221  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000249536    0.0126778080466  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            9.678957       0.985845153334   194.0   284.0   0.0415575822089   0.0283879258751   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00070377     0.143015924066   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            0.143015924066   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.10172427     0.143015924066   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.77119529     0.69318868118    86.0    67.0    0.0422600680566   0.0542442664607   
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              6.37647816     0.802654309357   19.0    18.0    0.266322373298    0.281118060703    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00211131     0.14301938722    2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              3.10995963     0.150471776533   8.4     9.0     0.340855466248    0.318131768498    
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             1.21764449     0.104476177066   18.0    20.0    0.058127975534    0.0523151779806   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            0.550671324598   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              6.690533235    0.566887706654   11.0    15.0    0.523712490553    0.384055826406    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.008129445    0.550684659246   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.035227595    0.550751327645   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-40         492.0     420.0     30.0             31.572318965   3.50473687261    131.0   74.0    0.197133973236    0.34898041208     
atlas_2004_10894     Cat12            22.0      16.6      1.7              3.939036855    1.23111655374    15.2    9.9     0.126316164926    0.193939970391    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.002709815    0.550671324598   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             14.87144282    2.40020220979    68.0    54.0    0.160810458764    0.202502059184    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.008129445    0.550684659246   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            0.550671324598   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.002308208    0.012682872114   20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.0126773475765  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.01698411     0.052335105464   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.590848858    0.255551212619   20.0    19.0    0.0585872434652   0.061670782595    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.052690162946   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              0.2379221155   0.0834071317262  11.1    10.3    0.00911120896118  0.00981887567661  
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              0.924489659    0.0548292057699  8.3     9.1     0.100550573679    0.0917109628063   
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            49.60142481    2.23414541071    1520.0  722.0   0.0302219910108   0.0636252442333   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            0.316140836246   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.02709815     0.550731327972   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            17.635172415   2.61239315355    317.0   216.0   0.042116238622    0.0618094798295   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           302.202966465  10.8322805271    3986.0  2400.0  0.0713592640242   0.118515844334    
