analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             1.235822329    0.0999864126182  49.0    63.0    0.021874379843    0.0170134065445    
atlas_1605_09318     SR-Gbb-C          5.0      7.6      1.7              0.02525565     0.0145814981568  5.4     6.9     0.00024851722645  0.000194491742439  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.0115452776267  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             7.529338515    0.828884389923   96.0    116.0   0.0642705012034   0.0531893803063    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.130244605277   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.130244605277   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0            0.130244605277   76.0    57.0    0                 0                  
atlas_1712_02332     2j-1200           582.0    517.0    31.0             5.35838664     0.701382173693   128.0   77.0    0.0328759365246   0.0546509074694    
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              1.013783985    0.305456074321   11.4    9.3     0.0449856160625   0.0551436583992    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            0.130244605277   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              4.615565085    0.142162382916   8.4     9.0     0.521716521074    0.486935419669     
atlas_1807_07447     MET2j             6771.0   6770.0   1800.0           45.1851827045  0.607384040078   2712.0  2723.0  0.0162939059288   0.0162280840539    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.3545835      0.501496637927   5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              11.46596943    0.531553879487   14.1    14.4    0.751363196287    0.735709796364     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            0.501496637927   6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.05688291     0.501642920861   2.928   2.927   0                 0                  
atlas_1911_12606     E-inc-20          383.0    301.0    23.0             6.39090513     1.50444275618    130.0   63.0    0.0301816846913   0.0622796668233    
atlas_2004_10894     Cat12             22.0     16.6     1.7              1.09359231     0.614248896965   15.2    9.9     0.00567263940636  0.00870950696734   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            0.501496637927   66.0    57.0    0                 0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             3.94949728     1.17617365969    68.0    54.0    0.0297143011486   0.0374180088537    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            0.501496637927   10.4    11.1    0                 0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.501496637927   13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.001496616    0.0115491503718  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.0115452776267  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.02340793     0.0476866400979  7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.50238528     0.136149210314   20.0    19.0    0.0139550287543   0.0146895039518    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.047984930866   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.006220296    0.0480010269323  6.3     6.1     0                 0                  
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.706175357    0.0523898009093  8.3     9.1     0.195211576326    0.178050119067     
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            106.48236372   3.12586933388    1520.0  722.0   0.0666815381661   0.140382185613     
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            0.287909797326   2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            0.501496637927   21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             16.69072289    2.4310497852     116.0   119.0   0.109515527951    0.106754632288     
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            218.64156676   8.79406436299    1199.0  833.0   0.170324688244    0.245161225936     
