analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.864490105   0.0647908657862   49.0    63.0    0.0154741445941   0.0120354457954    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.00716503080922  2.9     3.9     0                 0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00694790439434  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             5.48305617    0.548371570495    96.0    116.0   0.0477471541082   0.0395148861585    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.0783808389397   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.0783808389397   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.166839765   0.0959220394026   76.0    57.0    0.00012536342605  0.000167151234734  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             1.95699036    0.327959733119    67.0    37.0    0.021181140264    0.0383550377753    
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              1.05594156    0.241609424748    11.4    9.3     0.0578686055626   0.0709357100445    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.0783808389397   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.94317982    0.090616917849    8.4     9.0     0.332686675563    0.310507563859     
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.55681582    0.0521566352894   44.0    40.0    0.0107108849574   0.0117819734531    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.301799376049    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              8.17736579    0.336456599457    14.1    14.4    0.540821061482    0.529553956034     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.301799376049    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.040589175   0.301969159552    2.928   2.927   0                 0                  
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             9.18535628    1.39911719456     130.0   63.0    0.0530061852378   0.109377842554     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0           0.301799376049    21.0    19.0    0                 0                  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.213883      0.301799376049    66.0    57.0    0                 0                  
atlas_2101_01629     2J_disc_squark   106.0    86.0     12.0             1.73324595    0.603290189073    46.0    31.0    0.0161706530417   0.0239951625781    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.301799376049    10.4    11.1    0                 0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.301799376049    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00274098    0.00695990259665  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.00694790439434  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0141332125  0.0287222280791   7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.44259972    0.099043794671    20.0    19.0    0.014008394837    0.0147456787758    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0288772497398   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.072754834   0.0292004411125   11.1    10.3    0.00224019014194  0.00241418549277   
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              1.8641808     0.0362834814168   11.9    13.0    0.151653436174    0.138821222344     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            68.55696231   1.94375938909     1520.0  722.0   0.0430060505999   0.0905390538946    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.173263427578    2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.301799376049    21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            17.364509795  1.92013356388     317.0   216.0   0.0448438194014   0.0658124571771    
atlas_conf_2020_048  EM06             10203.0  9930.0   170.0            64.408892745  3.6967702952      594.0   381.0   0.0982259081833   0.153139604884     
