analysis             sr                o        b        db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.371947462   0.0303583084943   49.0    63.0    0.00657469053203   0.00511364819158   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.00366412273806  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0           0.0035530890829   6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             2.329870745   0.255586387791    96.0    116.0   0.019903219469     0.0164716299054    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0           0.0400832786153   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.0400832786153   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.08600628    0.0488594362195   76.0    57.0    7.73263763159e-05  0.000103101835088  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             1.0899976     0.174588649712    67.0    37.0    0.0119951076787    0.0217208706614    
atlas_1712_08119     SRI-MT2-105       34.0     38.0     7.0              1.419275155   0.200049538715    15.0    18.0    0.0727462607671    0.0606218839726    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.00140453    0.0400894300369   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             6.007877075   0.0763236388185   61.0    48.0    0.096437808317     0.122556381403     
atlas_1807_07447     MET2m1j           17.0     16.0     5.0              0.12411431    0.00874106745798  13.0    13.0    0.00844453533607   0.00844453533607   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.154337291946    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-EXC120   36.0     40.0     4.0              3.485475335   0.182311452125    13.0    15.0    0.245114196424     0.212432303568     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.00540803    0.154360977524    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.03785621    0.154644921506    2.928   2.927   0                  0                  
atlas_1911_12606     E-inc-30          453.0    366.0    27.0             9.96197209    1.04272376887     142.0   70.0    0.0581120078102    0.117884358701     
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0           0.154337291946    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0           0.154337291946    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             5.67576654    0.781381036921    68.0    54.0    0.0646220829331    0.0813759562861    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.002704015   0.154337291946    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.154337291946    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0023032685  0.00357266658422  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0           0.0035530890829   115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.02433572    0.0147774619017   7.2     7.3     1.3983677947e-05   1.37921207148e-05  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.9152277795  0.102332952408    20.0    19.0    0.0373700868775    0.0393369335553    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0147675346542   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.079688686   0.0154476843797   11.1    10.3    0.00489680032588   0.00527713433178   
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              0.9364851815  0.0259554636829   11.9    13.0    0.0751191782403    0.0687629400815    
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            29.28748755   0.906459082099    1520.0  722.0   0.0182900622733    0.0385053942595    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.0886051361852   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.00540803    0.154360977524    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             4.39039618    0.689185933697    99.0    76.0    0.0329306186741    0.0428964637992    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            57.39738682   2.49288399742     1199.0  833.0   0.0444612652746    0.0639964670639    
