analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             3.22387603     0.779392788555  49.0     63.0     0.0397075889137  0.0308836802662  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              6.4744e-05     0.275686805549  2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.00031391     0.267332721553  6.0      8.7      0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            27.83447182    7.68905833275   194.0    284.0    0.0784763719294  0.0536070991348  
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00424956     3.01584634324   5.6      5.1      0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            3.01584592741   7.22     6.137    0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             2.13278326     3.01584592741   76.0     57.0     0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             10.68908888    4.76827171836   86.0     67.0     0.033361898394   0.042822735252   
atlas_1712_08119     SRM-MT2-120       42.0      53.0      4.0              59.7274478     11.2834120953   10.0     17.0     4.12226519638    2.42486188022    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00141652     3.01584601058   2.97     2.9      0                0                
atlas_1803_02762     S-3l-slep-a       4.0       2.2       0.8              8.85287482     4.26462694892   6.8      5.1      0.273365679967   0.364487573289   
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              5.391821312    1.00344120162   6.1      7.3      0.614127498581   0.513175033061   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.6122849138   5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.71449889     11.6123684918   17.0     19.0     0                0                
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.035452235    11.6122887565   6.5      5.9      0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.08181285     11.6122942003   2.928    2.927    0                0                
atlas_1911_12606     E-inc-40          492.0     420.0     30.0             410.626431565  58.0609367914   131.0    74.0     2.40768316967    4.2622499355     
atlas_2004_10894     Cat9              71.0      69.0      4.0              24.643281285   14.2230826798   21.0     19.0     0.0627345566735  0.0693381942181  
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0            11.6122849138   66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             24.66982933    14.2210936978   38.0     29.0     0.0354535701483  0.0464564022632  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.079085755    11.6122938801   10.4     11.1     0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.6122849138   13.0     11.5     0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.192713856    0.267333112272  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             6.2782e-05     0.267332692065  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.019941152    1.10274953363   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              5.25763468     2.14167952671   20.0     19.0     0.08726401281    0.0918568555894  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.11110168991   6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              5.557172298    2.07862117503   11.1     10.3     0.193534555942   0.208566366112   
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             36.025590916   5.21151469465   17.7     24.6     1.55246931168    1.11702060231    
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           298.77562756   25.2328360615   3032.0   2741.0   0.0848924064707  0.0939050625389  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.001565625    6.66661013644   2.87     2.94     0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.035452235    11.6122887565   21.0     18.0     0                0                
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             41.08261676    18.3629498814   141.0    120.0    0.0777828294647  0.091394824621   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           2893.60776819  154.055128377   20140.0  13460.0  0.131129958175   0.196207827463   
