analysis             sr                o         b         db               s              ds               s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             1.652658352    0.336171401287   49.0     63.0     0.0224762704875  0.0174815437125  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.100073318299   2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000751872    0.0970407588557  6.0      8.7      0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            18.63623404    3.79242413227    194.0    284.0    0.0640033941395  0.0437206283911  
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              4.75485072     1.89558714481    8.0      9.0      0.205760975315   0.182898644724   
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            1.09473598766    7.22     6.137    0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             1.55101736     1.09473667224    76.0     57.0     0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.89698492     1.73077817088    86.0     67.0     0.0123082409274  0.0157986376083  
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             68.97966       7.3024687401     59.0     66.0     0.966162902818   0.863691079792   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00141368     1.09473621585    2.97     2.9      0                0                
atlas_1803_02762     S-3l-slep-a       4.0       2.2       0.8              9.63406424     2.68199339689    6.8      5.1      0.769940451338   1.02658726845    
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              3.7358363      0.501075408399   6.1      7.3      0.477716824627   0.399188031538   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            4.21519564681    5.8      5.4      0                0                
atlas_1908_08215     SR-SF-1J-INC100   120.0     124.0     12.0             10.176155875   4.21847870848    29.0     32.0     0.112339682521   0.101807837284   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.02721625     4.21520355452    6.5      5.9      0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.078927125    4.21522024854    2.928    2.927    0                0                
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             200.190910875  24.3977246124    96.0     73.0     1.66852752615    2.1942279796     
atlas_2004_10894     Cat9              71.0      69.0      4.0              2.9928265      4.21519828271    21.0     19.0     0                0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.008164875    4.21519740408    66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             14.964212375   6.66421825902    68.0     54.0     0.0593366827972  0.0747202672261  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.051710875    4.21521146222    10.4     11.1     0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.002721625    4.21519564681    13.0     11.5     0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.072596328    0.0970417904502  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.000187968    0.0970405768085  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.021193433    0.400298617473   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.228609897    0.839489001362   20.0     19.0     0.0425923967383  0.0448341018298  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0002604145   0.403324640931   6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              20.033847257   2.38622738107    11.1     10.3     1.45229138307    1.56509071379    
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             76.035546712   4.61618611162    17.7     24.6     3.86807918017    2.78313014183    
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            84.62620584    8.08196836026    1355.0   1235.0   0.0526728986931  0.057790913141   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00156249     2.41994643202    2.87     2.94     0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.029937875    4.21520443316    21.0     18.0     0                0                
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             11.94958625    5.96119182208    141.0    120.0    0.0154129905091  0.0181102638482  
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1745.191896    72.0301455556    20140.0  13460.0  0.0807876095973  0.120881311834   
