analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.92990018     0.376973716482  49.0    63.0    0.0267686384688  0.0208200521424  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.10782107947   2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.00043862     0.104553651033  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            23.43952997    4.41336404021   194.0   284.0   0.0835134687838  0.0570479329016  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00424131     1.17949785128   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.17949679217   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00141377     1.17949700399   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.19113155     1.86485123662   86.0    67.0    0.0131718083947  0.0169070973425  
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             113.529550785  9.72653594098   59.0    66.0    1.65386494647    1.47845502791    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            1.17949679217   2.97    2.9     0                0                
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              5.345155455    2.04282335768   6.8     5.1     0.293371345354   0.391161793805   
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              3.199478676    0.480641119917  6.1     7.3     0.39528315399    0.330305101279   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.002721805    4.541556919     5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC100  120.0     124.0     12.0             11.27915992    4.54493470955   29.0    32.0    0.131912655046   0.119545843635   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.04354888     4.54156915304   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.09254137     4.54158383384   2.928   2.927   0                0                
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             250.990003925  28.3620329365   96.0    73.0    2.12996114489    2.80104479328    
atlas_2004_10894     Cat9             71.0      69.0      4.0              3.210495       4.541556919     21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.002721805    4.541556919     66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             25.753521515   9.08312158622   68.0    54.0    0.159664736965   0.2010592984     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.051714295    4.54157159984   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.541556919     13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00350896     0.104554571071  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.104553538375  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.630957827    0.528170714398  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              3.427409498    1.08127714619   20.0    19.0    0.0827057489123  0.0870586830656  
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.434551859164  6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              13.5831511285  2.03835762227   11.1    10.3    0.922544561079   0.994198507571   
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             37.6762745175  3.3378956047    17.7    24.6    1.81932913705    1.30902950105    
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            113.62337157   9.72603792487   1355.0  1235.0  0.0720831508289  0.0790871816787  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00156259     2.6073118619    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.04354888     4.54156915304   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-5-1600-16   126.0     129.0     8.0              12.846441805   6.42186075359   26.0    28.0    0.0890226988119  0.0826639346111  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           415.02361679   36.4742011696   3986.0  2400.0  0.0891133785429  0.14800246953    
