analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             4.114392223    0.873936750116  49.0     63.0     0.0547170602614   0.0425577135367   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.271736312749  2.9      3.9      0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              6.2861e-05     0.263501686462  6.0      8.7      0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            50.603823255   10.2974944476   194.0    284.0    0.173793465778    0.118718071693    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0            2.9726291224    5.6      5.1      0                 0                 
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.9726291224    7.22     6.137    0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00141831     2.97262920699   76.0     57.0     0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             10.53074972    4.70189211242   86.0     67.0     0.0327865890189   0.0420842784422   
atlas_1712_08119     SRI-MLL-10        12.0      8.9       2.5              79.85674324    12.9535761587   11.4     9.3      5.14148055612     6.30246003654     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0            2.9726291224    2.97     2.9      0                 0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              7.194377475    2.97348706491   8.4      9.0      0.275935558161    0.257539854283    
atlas_1807_07447     MET1g1j           106.0     103.0     21.0             14.0287986325  1.61837283393   44.0     40.0     0.258515163292    0.284366679622    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.4458515816   5.8      5.4      0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.73997363     11.4459395199   17.0     19.0     0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00546106     11.4458519073   6.5      5.9      0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.06007166     11.4458584213   2.928    2.927    0                 0                 
atlas_1911_12606     E-high-mm-10      9.0       11.0      2.0              145.71453053   34.3446595519   7.0      8.0      12.7698984093     11.1736611081     
atlas_2004_10894     Cat12             22.0      16.6      1.7              40.55581014    18.0907447052   15.2     9.9      0.716249264705    1.09969584076     
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00546106     11.4458519073   66.0     57.0     0                 0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             32.48019067    16.1868870609   68.0     54.0     0.0872602336793   0.109883257226    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.03003583     11.4458548386   10.4     11.1     0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.4458515816   13.0     11.5     0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.003520216    0.263502098856  20.0     10.2     0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.263501686462  115.0    101.0    0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.02178141     1.08694428132   7.2      7.3      0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              5.188219713    2.11084655599   20.0     19.0     0.0863215680587   0.0908648084828   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.09517952044   6.34     3.17     0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.006531675    1.09518026837   6.3      6.1      0                 0                 
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             1.958457432    1.09541307004   17.7     24.6     0.00915141226712  0.00658455272878  
atlas_conf_2017_060  IM4               41523.0   39900.0   1000.0           519.62157146   33.0297617488   3268.0   2001.0   0.142427405811    0.232610076058    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            6.57107360686   2.87     2.94     0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.03003583     11.4458548386   21.0     18.0     0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             40.49858318    18.1042215776   116.0    119.0    0.0931694809723   0.0908206705276   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           6591.54541642  230.908212635   20140.0  13460.0  0.308483413491    0.461579193737    
