analysis             sr               o        b        db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             9.1654912     1.30663367302   49.0    63.0    0.14331861176    0.111470031369   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.272229047418  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              6.29e-05      0.263979939474  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            101.28174192  14.5892681079   194.0   284.0   0.398738877438   0.272377965574   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           2.97802271992   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           2.97802271992   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.00070959    2.97802271992   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0    378.0    28.0             25.28712975   7.29464542222   86.0    67.0    0.154929200669   0.198864347128   
atlas_1712_08119     SRI-MLL-05       4.0      3.1      1.2              42.1226859    9.41733248261   6.5     5.5     4.104347789      4.85059284155    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00070959    2.97802271992   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              8.29368792    2.97901056307   8.4     9.0     0.405727451973   0.378678955175   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             7.688026291   1.19895367716   44.0    40.0    0.130039596828   0.143043556511   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           11.466620666    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             19.90695492   11.4689917697   36.0    33.0    0.0304946782704  0.0332669217495  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.00273222    11.466620666    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0819666     11.4666301058   2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-05     0.0      3.9      1.3              64.87592888   22.933241332    2.9     5.1     9.40186658468    5.34615943051    
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.00273222    11.466620666    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00273222    11.466620666    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             0.03551886    11.4666245721   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.02458998    11.4666232701   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           11.466620666    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0027047     0.263980254213  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             6.29e-05      0.263979939474  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.018162375   1.08891832258   7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.0014545625  1.22090841936   5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           1.09716459051   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.003398564   1.09716496426   6.3     6.1     0                0                
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             3.454929144   1.09748369727   17.7    24.6    0.0935059819477  0.0672786943282  
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            223.36513185  21.6803238509   582.0   410.0   0.322696564836   0.458071709109   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           6.58299107859   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.02185776    11.4666229446   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            113.60674548  30.3378567085   317.0   216.0   0.201427951035   0.29561416888    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            746.43328516  77.7703541417   1199.0  833.0   0.516171730081   0.74296507127    
