analysis             sr               o         b         db               s             ds               s95obs   s95exp   robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             1.9407180075  0.352503190809   49.0     63.0     0.0278084239709   0.0216287741996   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0938645886608  2.9      3.9      0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0003139625  0.0910206903607  6.0      8.7      0                 0                 
atlas_1704_03848     SRI2             729.0     765.0     59.0             12.3910716    2.99325657943    96.0     116.0    0.0779388626013   0.0645011276701   
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              2.2449311     1.25727747154    8.0      9.0      0.0228745058348   0.0203328940753   
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           1.02682215156    7.22     6.137    0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             2.17905176    1.25725891241    76.0     57.0     0.00154140978488  0.00205521304651  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             3.64607274    1.62329102129    86.0     67.0     0.0114404123847   0.0146847084341   
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              50.84440612   6.07503979909    19.0     18.0     2.15164951839     2.27118560275     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00141676    1.0268223959     2.97     2.9      0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              4.994079      1.02854311276    8.4      9.0      0.39372241608     0.367474255008    
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              1.941460378   0.347636704962   6.1      7.3      0.224809210141    0.187854271488    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           3.95370139141    5.8      5.4      0                 0                 
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              9.87645855    3.95710573367    11.0     15.0     0.30789137698     0.225787009785    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.01909285    3.95370703639    6.5      5.9      0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0763714     3.95372679377    2.928    2.927    0                 0                 
atlas_1911_12606     E-low-mm-20      17.0      15.6      2.3              72.7167252    14.2587886342    11.4     10.0     4.32739577544     4.933231184       
atlas_2004_10894     Cat10            29.0      26.3      2.2              8.38754755    4.84098023756    14.7     12.4     0.0304993170337   0.036156448419    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             5.59410255    3.95370139141    66.0     57.0     0                 0                 
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             33.63922925   9.68326735065    68.0     54.0     0.261156923455    0.32886427398     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.06818875    3.95372397129    10.4     11.1     0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           3.95370139141    13.0     11.5     0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.06742704    0.091021621708   20.0     10.2     0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0           0.0910206037233  115.0    101.0    0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.278912969   0.375464236074   7.2      7.3      0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              4.778780606   1.1909219503     20.0     19.0     0.141283430375    0.148719400395    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.378303753793   6.34     3.17     0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              3.2518799105  0.926161585954   11.1     10.3     0.156123865724    0.168249991217    
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             8.2643287415  1.33770213195    17.7     24.6     0.342965946051    0.246768180695    
atlas_conf_2017_060  IM4              41523.0   39900.0   1000.0           197.15129006  11.9529954356    3268.0   2001.0   0.054329368894    0.0887298238608   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           2.26982464464    2.87     2.94     0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.05182345    3.95371832633    21.0     18.0     0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            22.43817375   7.90899818667    317.0    216.0    0.0298656678986   0.0438306329808   
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           2264.5789322  79.5183147369    20140.0  13460.0  0.105966678055    0.158556381577    
