analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             6.21075957     0.64897834255    49.0    63.0    0.105029287515   0.0816894458447  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.000129143    0.099216695839   2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0962100554094  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             33.9005275     5.09153873752    96.0    116.0   0.266150041359   0.220262103194   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            1.08537407257    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.08537407257    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.003531875    1.08537499201    76.0    57.0    0                0                
atlas_1712_02332     2j-2100          180.0    143.0    13.0             9.232717625    2.65893829989    67.0    37.0    0.0727172957191  0.131677265221   
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.76832775     1.08537430243    27.0    20.0    0                0                
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.002119125    1.08537453229    2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              8.1685205      1.08802868396    8.4     9.0     0.760018268846   0.709350384256   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           456.336130429  5.57845499632    5551.0  5525.0  0.0805598026003  0.0809389075538  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            4.17913389044    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              19.05240915    4.18532818196    14.1    14.4    0.864430562524   0.846421592471   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            4.17913389044    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.08975439     4.1791622119     2.928   2.927   0                0                
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            4.17913389044    33.0    26.0    0                0                
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            4.17913389044    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00271983     4.17913389044    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             0.01359915     4.17913743063    38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            4.17913389044    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            4.17913389044    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00137753     0.0962104832921  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0962100554094  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.025570314    0.396875643013   7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.0014479675   0.444972987967   5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.399874025832   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.004424131    0.399875380785   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              2.51915224     0.400692850629   8.3     9.1     0.224339272888   0.204617139007   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            407.961672875  17.685251052     1520.0  722.0   0.249314382335   0.524872383864   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            2.39924274182    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            4.17913389044    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            85.77664939    15.9116687311    317.0   216.0   0.18826975606    0.276303299403   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            839.91618597   49.7980880803    1199.0  833.0   0.632399767738   0.910260890178   
