analysis             sr               o         b         db               s              ds               s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.842548512    0.111948984221   49.0     63.0     0.0134480036301    0.010459558379     
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.0218170982501  2.9      3.9      0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000437192    0.021156503631   6.0      8.7      0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            10.85203984    1.35008918637    194.0    284.0    0.0445252246101    0.0304151182196    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              0.5769135      0.337653284806   8.0      9.0      0.00289526411474   0.00257356810199   
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            0.238665502307   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.50845474     0.292338674827   76.0     57.0     0.000381833069529  0.000509110759372  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             5.09290544     0.924313224691   86.0     67.0     0.0415933924594    0.0533885336046    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             30.43229058    2.2643062346     59.0     66.0     0.452861497547     0.404830732655     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0            0.238665502307   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              3.95845104     0.77358741616    5.1      5.0      0.52740542696      0.5379535355       
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              1.198595468    0.129969849724   6.1      7.3      0.161548346632     0.134992454035     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            0.918960030028   5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              6.50560614     0.928509251901   11.0     15.0     0.452986451535     0.332190064459     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.01085172     0.918972043512   6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.07596204     0.919068145731   2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             79.12974498    7.14783617037    96.0     73.0     0.702159308965     0.923387584392     
atlas_2004_10894     Cat12            22.0      16.6      1.7              2.0034386      1.12542505436    15.2     9.9      0.0103777309768    0.0159334859442    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             1.95504586     1.12562022778    66.0     57.0     0.00165194979466   0.00191278397276   
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             15.64806567    3.18364844689    68.0     54.0     0.153336503193     0.193090411428     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.01627758     0.918980052414   10.4     11.1     0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            0.918960030028   13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.003934728    0.0211616655298  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.09662686     0.036648875898   3717.0   3549.0   9.82585513243e-06  1.02909843695e-05  
atlas_conf_2016_050  SR1              37.0      24.0      3.0              0.291831425    0.137996087786   26.0     12.9     0.0025199169627    0.00507890240544   
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.876509911    0.359525749166   20.0     19.0     0.0643443841184    0.067730930651     
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.0879294700958  6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              7.7180513575   0.68958357299    11.1     10.3     0.593435522324     0.639527601728     
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             15.4224584475  0.941035869357   17.7     24.6     0.784133311964     0.564193480559     
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            40.69034728    2.61447822917    1355.0   1235.0   0.0268653896562    0.02947579189      
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00311499     0.527578765651   2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.03255516     0.919004078702   21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-C-4-1600-16   274.0     273.0     17.0             6.50841172     2.05471616044    47.0     47.0     0.0667803663167    0.0667803663167    
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           818.17561683   23.0104536305    20140.0  13460.0  0.0387506689611    0.0579820559343    
