analysis             sr               o        b        db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.33852957    0.0507925770543  49.0    63.0    0.00520877027818   0.00405126577192   
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.0403072475  0.0195823670541  5.4     6.9     0.00151706769098   0.00118727036685   
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0006853275  0.0109568424936  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            4.0818808     0.592758119795   194.0   284.0   0.0160296777502    0.0109498502941    
atlas_1706_03731     Rpc3L1bS         20.0     17.0     4.0              0.27280275    0.151440430973   14.0    12.0    0.00174574594314   0.00203670360033   
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.123587015578   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.6146224     0.231247233489   76.0    57.0    0.00309706496155   0.00412941994873   
atlas_1712_02332     3j-1300          405.0    378.0    28.0             4.57515955    0.630286589663   86.0    67.0    0.0411801109646    0.0528580528799    
atlas_1712_08119     SRM-MT2-999      13.0     11.0     1.4              3.1582233     0.524270797804   10.0    8.0     0.22984191916      0.28730239895      
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0014057     0.123589014146   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.58859655    0.130738867619   8.4     9.0     0.282641048465     0.2637983119       
atlas_1807_07447     MET2m2j          6.0      7.2      1.7              0.579554495   0.0636403648703  6.1     7.3     0.0778990650185    0.065093739262     
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.475860798386   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              5.26910769    0.490607586174   14.1    14.4    0.316632003452     0.31003550338      
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.00811881    0.475876188977   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.06495048    0.47603776014    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             39.20393553   3.60828362956    96.0    73.0    0.346732816433     0.455977402432     
atlas_2004_10894     Cat12            22.0     16.6     1.7              3.40565328    1.06502933279    15.2    9.9     0.109145077251     0.167576280224     
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             1.34936577    0.673335497239   66.0    57.0    0.00371356900799   0.00429992200925   
atlas_2101_01629     2J_disc_squark   106.0    86.0     12.0             4.42134709    1.21355311897    46.0    31.0    0.0528504342365    0.0784232249962    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.01894389    0.475906968666   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.475860798386   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0025544025  0.0109621551473  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.0694916525  0.021914442174   3717.0  3549.0  9.02662559445e-06  9.45392148057e-06  
atlas_conf_2016_050  SR1              37.0     24.0     3.0              0.1397714435  0.0554264253118  26.0    12.9    0.00187969638418   0.00378853534795   
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.872493379   0.175636596502   20.0    19.0    0.0292224680368    0.0307604926703    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0455319708877  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              3.80745904    0.346809081105   11.1    10.3    0.291774067296     0.314436130776     
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             5.7314040525  0.385359740689   17.7    24.6    0.288102490269     0.207293255194     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            22.9107268    1.40922896604    1520.0  722.0   0.0135523626945    0.0285312898832    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.273192108147   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.01353135    0.47589157907    21.0    18.0    0                  0                  
atlas_conf_2019_040  SR-5j-1600       320.0    319.0    19.0             4.7392542     1.25941593665    52.0    51.0    0.0514194627671    0.0524276875273    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            47.16238211   3.96757080934    1199.0  833.0   0.033907894898     0.0488062016599    
