analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.703112404   0.0907601332235  49.0    63.0    0.0113115466431    0.00879786961132   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0172319310606  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0003118075  0.0167102296861  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            7.92941788    1.02391870372    194.0   284.0   0.0322174804428    0.0220077155137    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00281406    0.188510810751   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           0.188506872474   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.403272075   0.230803820938   76.0    57.0    0.000325708008709  0.000434277344945  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.69007401    0.788735071559   86.0    67.0    0.0394947499145    0.0506947536215    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             42.59190206   2.38060408646    59.0    66.0    0.655723921326     0.586177444821     
atlas_1802_03158     SRaaWL           6.0       3.7       1.1              0.40844868    0.230956810285   8.1     6.2     0.00366413717687   0.00478701792462   
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              3.34310328    0.194643955315   8.4     9.0     0.359986570629     0.33598746592      
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              0.661138186   0.084662652001   6.1     7.3     0.085621547003     0.0715467721532    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.00270882    0.725829276487   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              6.89665572    0.738581478137   11.0    15.0    0.516852917805     0.379025473057     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0135441     0.725849495026   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0541764     0.72592530953    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-30         419.0     388.0     28.0             59.42535536   5.50415944736    91.0    69.0    0.553830042487     0.730413534295     
atlas_2004_10894     Cat12            22.0      16.6      1.7              4.6602323     1.53990308383    15.2    9.9     0.140446792271     0.215635479042     
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             1.54734646    0.888681819617   66.0    57.0    0.00136224660346   0.00157733817243   
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             11.88247578   2.46133178703    68.0    54.0    0.115380759548     0.145294289801     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.02167056    0.72586465856    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           0.725829276487   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.015421267   0.0167163958696  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0           0.0167097642215  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.0177495945  0.0689603576022  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.596159419   0.294316226262   20.0    19.0    0.0556740403965    0.0586042530489    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.0694499265409  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              1.926148664   0.302733758751   11.1    10.3    0.128798675644     0.138802456277     
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             3.776664216   0.35117876224    17.7    24.6    0.180832262482     0.130111018127     
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            37.507708445  2.23048716034    1520.0  722.0   0.022269545725     0.046883254158     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           0.416699700658   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0270882     0.725874767407   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            17.01502696   2.94876887198    317.0   216.0   0.0384197035014    0.0563844722683    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           231.1985955   10.8758787205    3986.0  2400.0  0.0535278862013    0.088900897666     
